DIST,CNTY,POSTMILE,Latitude,Longitude,Year,AADT,Truck AADT
2,SHA,32.159,40.80880556,122.3228056,2023,-24100,-6424
2,SHA,32.159,40.80880556,122.3228056,2024,-35300,-9718
2,SHA,32.159,40.80880556,122.3228056,2025,-46500,-13012
2,TEH,38.716,40.327,122.281,2023,24500,5818
2,TEH,38.716,40.327,122.281,2024,20000,5532
2,TEH,38.716,40.327,122.281,2025,15500,5246
2,SHA,29.315,40.77325,122.3133333,2023,-24100,-5711
2,SHA,29.315,40.77325,122.3133333,2024,-35400,-8804
2,SHA,29.315,40.77325,122.3133333,2025,-46700,-11897
2,SHA,27.632,40.75152778,122.32025,2023,14000,8091
2,SHA,27.632,40.75152778,122.32025,2024,12200,8423
2,SHA,27.632,40.75152778,122.32025,2025,10400,8755
2,TEH,41.525,40.36763889,122.2839444,2023,35000,10749
2,TEH,41.525,40.36763889,122.2839444,2024,35000,12003
2,TEH,41.525,40.36763889,122.2839444,2025,35000,13257
2,TEH,42.115,40.37619444,122.2845556,2023,36500,6624
2,TEH,42.115,40.37619444,122.2845556,2024,33500,6294
2,TEH,42.115,40.37619444,122.2845556,2025,30500,5964
2,SHA,26.035,40.73097222,122.3202222,2023,14900,8444
2,SHA,26.035,40.73097222,122.3202222,2024,13200,8882
2,SHA,26.035,40.73097222,122.3202222,2025,11500,9320
2,SHA,0,40.37619444,122.2845556,2023,36500,6624
2,SHA,0,40.37619444,122.2845556,2024,33500,6294
2,SHA,0,40.37619444,122.2845556,2025,30500,5964
2,SHA,0.909,40.38933333,122.2850833,2023,44500,6624
2,SHA,0.909,40.38933333,122.2850833,2024,43500,6294
2,SHA,0.909,40.38933333,122.2850833,2025,42500,5964
2,SHA,20.995,40.66358333,122.3556667,2023,20500,8893
2,SHA,20.995,40.66358333,122.3556667,2024,17000,9468
2,SHA,20.995,40.66358333,122.3556667,2025,13500,10043
2,SHA,1.907,40.40325,122.2813333,2023,50000,4341
2,SHA,1.907,40.40325,122.2813333,2024,49000,3215
2,SHA,1.907,40.40325,122.2813333,2025,48000,2089
2,SHA,5.294,40.4515,122.2914444,2023,30500,7997
2,SHA,5.294,40.4515,122.2914444,2024,26500,8599
2,SHA,5.294,40.4515,122.2914444,2025,22500,9201
2,SHA,41.053,40.89255556,122.3835278,2023,12300,8179
2,SHA,41.053,40.89255556,122.3835278,2024,10500,8558
2,SHA,41.053,40.89255556,122.3835278,2025,8700,8937
2,SHA,9.772,40.50555556,122.33825,2023,39000,10188
2,SHA,9.772,40.50555556,122.33825,2024,34000,10962
2,SHA,9.772,40.50555556,122.33825,2025,29000,11736
2,SHA,15.448,40.58536111,122.36075,2023,45000,9702
