year,RTE,DIST,CNTY,POSTMILE,DESCRIPTION,VEHICLE_AADT_TOTAL,TRUCK_AADT_TOTAL,TRK_PERCENT_TOT,Latitude,Longitude
2020,5,11,SD,0.878,SOUTH JCT. RTE. 805,28500,1083,3.8,32.54936111111111,-117.04041666666666
2020,5,11,SD,4.632,JCT. RTE. 75 WEST,90000,3780,4.2,32.58383333333334,-117.08725
2020,5,11,SD,4.632,JCT. RTE. 75 WEST,129000,4773,3.7,32.58383333333334,-117.08725
2020,5,11,SD,11.129,8TH STREET,166000,8300,5.0,32.67477777777778,-117.10988888888889
2020,5,11,SD,12.647,JCT. RTE. 15 NORTH,199000,9950,5.0,32.69286111111111,-117.12180555555555
2020,5,11,SD,12.647,JCT. RTE. 15 NORTH,139000,5699,4.1,32.69286111111111,-117.12180555555555
2020,5,11,SD,14.077,"SAN DIEGO, JCT. RTE. 75 SOUTH",142000,5822,4.1,32.70125,-117.14288888888889
2020,5,11,SD,14.077,"SAN DIEGO, JCT. RTE. 75 SOUTH",144000,5760,4.0,32.70125,-117.14288888888889
2020,5,11,SD,15.036,"SAN DIEGO, JCT. RTE. 94",143000,5434,3.8,32.71369444444445,-117.14775
2020,5,11,SD,15.036,"SAN DIEGO, JCT. RTE. 94",184000,7360,4.0,32.71369444444445,-117.14775
2020,5,11,SD,16.069,"SAN DIEGO, JCT. RTE. 163",184000,6808,3.7,32.724000000000004,-117.15541666666667
2020,5,11,SD,16.069,"SAN DIEGO, JCT. RTE. 163",176000,7216,4.1,32.724000000000004,-117.15541666666667
2020,5,11,SD,20.056,JCT. RTE. 8/CAMINO DEL RIO,147000,6027,4.1,32.75911111111111,-117.20402777777778
2020,5,11,SD,20.056,JCT. RTE. 8/CAMINO DEL RIO,144000,4896,3.4,32.75911111111111,-117.20402777777778
2020,5,11,SD,23.476,"SAN DIEGO, BALBOA AVENUE",124000,5580,4.5,32.806527777777774,-117.21580555555556
2020,5,11,SD,23.476,"SAN DIEGO, BALBOA AVENUE",112000,4480,4.0,32.806527777777774,-117.21580555555556
2020,5,11,SD,25.947,JCT. RTE. 52 EAST,138000,5658,4.1,32.83755555555556,-117.23472222222222
2020,5,11,SD,30.682,"SAN DIEGO, NORTH JCT. RTE. 805",48500,1843,3.8,32.9045,-117.22483333333334
2020,5,11,SD,41.509,ENCINITAS BOULEVARD,175000,14490,8.28,33.04822222222222,-117.28733333333334
2020,5,11,SD,42.712,LEUCADIA BOULEVARD,174000,10892,6.26,33.06511111111111,-117.29241666666667
2020,5,11,SD,51.201,JCT. RTE. 78 EAST,165000,7937,4.81,33.176944444444445,-117.35141666666667
2020,5,11,SD,51.201,JCT. RTE. 78 EAST,161000,7728,4.8,33.176944444444445,-117.35141666666667
2020,5,11,SD,52.834,BROOKS ST OC,160000,11488,7.18,33.19638888888888,-117.36749999999999
2020,5,11,SD,53.43,MISSION AVENUE,132000,7894,5.98,33.20138888888889,-117.37558333333332
2020,5,11,SD,54.39,HARBOR DRIVE/VANDERGRIFT,123000,11132,9.05,33.21027777777778,-117.38733333333334
2020,5,11,SD,71.377,BASILONE ROAD,122000,8821,7.23,33.38538888888889,-117.58319444444444
2020,5,12,ORA,0.0,SAN DIEGO/ORANGE COUNTY LINE,142000,9940,7.0,33.396499999999996,-117.59363888888889
2020,5,12,ORA,6.78,JCT RTE 1,192000,13440,7.0,33.46713888888889,-117.66977777777778
2020,5,12,ORA,9.604,"SAN JUAN CAPISTRANO, JCT. RTE. 74",183000,12810,7.0,33.502472222222224,-117.65836111111112
2020,5,12,ORA,9.604,"SAN JUAN CAPISTRANO, JCT. RTE. 74",210000,14700,7.0,33.502472222222224,-117.65836111111112
2020,5,12,ORA,13.776,CROWN VALLEY PARKWAY INTERCHANGE,213000,15975,7.5,33.55925,-117.67288888888889
2020,5,12,ORA,21.304,"JCT. RTE. 405, SANTA ANA FREEWAY",317000,22190,7.0,33.64469444444445,-117.73497222222223
2020,5,12,ORA,23.12,"IRVINE, JCT. RTE. 133",304000,21280,7.0,33.666916666666665,-117.7526388888889
2020,5,12,ORA,23.12,"IRVINE, JCT. RTE. 133",299400,20958,7.0,33.666916666666665,-117.7526388888889
2020,5,12,ORA,30.263,"TUSTIN, JCT. RTE. 55, COSTA MESA FREEWAY",301600,21112,7.0,33.74066666666667,-117.83352777777777
2020,5,12,ORA,30.263,"TUSTIN, JCT. RTE. 55, COSTA MESA FREEWAY",301600,21112,7.0,33.74066666666667,-117.83352777777777
2020,5,12,ORA,34.0,"SANTA ANA, JCT. RTES. 22 AND 57, GARDEN GROVE/ORANGE FREEWAYS",336000,23520,7.0,33.778777777777776,-117.87591666666665
2020,5,12,ORA,34.0,"SANTA ANA, JCT. RTES. 22 AND 57, GARDEN GROVE/ORANGE FREEWAYS",324000,22680,7.0,33.778777777777776,-117.87591666666665
2020,5,12,ORA,34.942,"ORANGE, CHAPMAN AVENUE",273400,21872,8.0,33.788888888888884,-117.8866388888889
2020,5,12,ORA,36.258,KATELLA AVENUE,273400,23239,8.5,33.80313888888889,-117.90158333333333
2020,5,12,ORA,36.258,KATELLA AVENUE,287200,22976,8.0,33.80313888888889,-117.90158333333333
2020,5,12,ORA,38.915,LINCOLN AVENUE,285000,25650,9.0,33.83238888888889,-117.93186111111112
2020,5,12,ORA,38.915,LINCOLN AVENUE,274200,24678,9.0,33.83238888888889,-117.93186111111112
2020,5,12,ORA,42.1,"FULLERTON, JCT. RTE. 91, RIVERSIDE/ARTESIA FREEWAYS",136500,11603,8.5,33.85611111111111,-117.97891666666666
2020,5,12,ORA,42.1,"FULLERTON, JCT. RTE. 91, RIVERSIDE/ARTESIA FREEWAYS",117250,11139,9.5,33.85611111111111,-117.97891666666666
2020,5,12,ORA,43.43,JCT. RTE. 39; BEACH BOULEVARD,213400,20273,9.5,33.86655555555556,-117.99816666666666
2020,5,7,LA,0.0,ORANGE/LOS ANGELES COUNTY LINE,160000,12960,8.1,33.87486111111111,-118.01147222222222
2020,5,7,LA,6.848,"SANTA FE SPRINGS, JCT. RTE. 605, SAN GABRIEL RIVER FREEWAY",180000,13050,7.25,33.94127777777778,-118.0966111111111
2020,5,7,LA,6.848,"SANTA FE SPRINGS, JCT. RTE. 605, SAN GABRIEL RIVER FREEWAY",214000,14295,6.68,33.94127777777778,-118.0966111111111
2020,5,7,LA,10.876,"COMMERCE, GARFIELD AVENUE INTERCHANGE",205000,16749,8.17,33.98747222222222,-118.13733333333334
2020,5,7,LA,13.784,"COMMERCE, JCT. RTE. 710, LONG BEACH FREEWAY",213000,16784,7.88,34.01636111111111,-118.17258333333334
2020,5,7,LA,13.784,"COMMERCE, JCT. RTE. 710, LONG BEACH FREEWAY",229000,14656,6.4,34.01636111111111,-118.17258333333334
2020,5,7,LA,16.474,"LOS ANGELES, JCT. RTE. 60, POMONA FREEWAY",253000,19430,7.68,34.02983333333333,-118.21591666666667
2020,5,7,LA,16.474,"LOS ANGELES, JCT. RTE. 60, POMONA FREEWAY",219000,14673,6.7,34.02983333333333,-118.21591666666667
2020,5,7,LA,18.452,"LOS ANGELES, JCT. RTE. 10, SAN BERNARDINO FREEWAY",214000,14509,6.78,34.055305555555556,-118.21411111111111
2020,5,7,LA,18.452,"LOS ANGELES, JCT. RTE. 10, SAN BERNARDINO FREEWAY",219000,13753,6.28,34.055305555555556,-118.21411111111111
2020,5,7,LA,20.444,"LOS ANGELES, JCT. RTE. 110, PASADENA FREEWAY",206000,13493,6.55,34.08186111111112,-118.22375
