year,RTE,DIST,CNTY,POSTMILE,DESCRIPTION,VEHICLE_AADT_TOTAL,TRUCK_AADT_TOTAL,TRK_PERCENT_TOT,Latitude,Longitude
2020,80,4,SF,3.951,"SAN FRANCISCO, JCT. RTE. 101",156000,4524,2.9,37.76772222222222,-122.40502777777779
2020,80,4,ALA,1.989,SAN FRANCISCO-OAKLAND BAY BRIDGE TOLL PLAZA,247000,6373,2.58,37.823861111111114,-122.31363888888889
2020,80,4,ALA,1.989,SAN FRANCISCO-OAKLAND BAY BRIDGE TOLL PLAZA,200000,5020,2.51,37.823861111111114,-122.31363888888889
2020,80,4,ALA,2.802,"OAKLAND, JCT. RTE. 580 EAST",200000,3540,1.77,37.82641666666667,-122.29925
2020,80,4,ALA,2.802,"OAKLAND, JCT. RTE. 580 EAST",257000,7042,2.74,37.82641666666667,-122.29925
2020,80,4,ALA,3.786,"EMERYVILLE, POWELL STREET",217000,10394,4.79,37.83786111111112,-122.29641666666666
2020,80,4,ALA,4.582,"BERKELEY, JCT. RTE. 13 EAST",217000,10438,4.81,37.849000000000004,-122.29886111111111
2020,80,4,ALA,4.582,"BERKELEY, JCT. RTE. 13 EAST",218000,10399,4.77,37.849000000000004,-122.29886111111111
2020,80,4,CC,2.04,"RICHMOND, JCT. RTE. 123 SOUTH",151000,4832,3.2,37.92538888888889,-122.3206111111111
2020,80,4,CC,2.04,"RICHMOND, JCT. RTE. 123 SOUTH",182000,5824,3.2,37.92538888888889,-122.3206111111111
2020,80,4,CC,2.961,"RICHMOND, SAN PABLO AVENUE",179000,5800,3.24,37.93713888888889,-122.3261111111111
2020,80,4,CC,2.961,"RICHMOND, SAN PABLO AVENUE",173000,6142,3.55,37.93713888888889,-122.3261111111111
2020,80,4,CC,5.983,"RICHMOND, HILLTOP DRIVE",172000,6880,4.0,37.976222222222226,-122.31838888888889
2020,80,4,CC,7.597,"PINOLE, APPIAN WAY",167000,10053,6.02,37.99330555555556,-122.30197222222222
2020,80,4,CC,7.597,"PINOLE, APPIAN WAY",177000,7399,4.18,37.99330555555556,-122.30197222222222
2020,80,4,CC,10.059,"HERCULES, JCT. RTE. 4 EAST",181000,8326,4.6,38.015055555555556,-122.26925
2020,80,4,CC,10.059,"HERCULES, JCT. RTE. 4 EAST",125000,6688,5.35,38.015055555555556,-122.26925
2020,80,4,CC,14.139,CARQUINEZ BRIDGE,133000,6650,5.0,38.06097222222222,-122.22527777777778
2020,80,4,SOL,1.144,"VALLEJO, JCT. RTE. 29 NORTHWEST",110000,5269,4.79,38.07641666666667,-122.23188888888889
2020,80,4,SOL,1.144,"VALLEJO, JCT. RTE. 29 NORTHWEST",110000,5500,5.0,38.07641666666667,-122.23188888888889
2020,80,4,SOL,2.22,"VALLEJO, JCT. RTE. 780 SOUTHEAST",110000,5126,4.66,38.09136111111111,-122.23041666666667
2020,80,4,SOL,5.634,"VALLEJO, JCT. RTE. 37 WEST",119000,6152,5.17,38.13875,-122.2201388888889
2020,80,4,SOL,5.634,"VALLEJO, JCT. RTE. 37 WEST",118000,5983,5.07,38.13875,-122.2201388888889
2020,80,4,SOL,11.976,JCT. RTE. 12 WEST,120000,6720,5.6,38.208222222222226,-122.15022222222223
