year,RTE,DIST,CNTY,POSTMILE,DESCRIPTION,VEHICLE_AADT_TOTAL,TOT_TRK_AADT,TRK_PERCENT_TOT,Latitude,Longitude
2021,8,11,SD,0.407,"SAN DIEGO, SUNSET CLIFFS BOULEVARD",12500,125,1.0,37.22944444444445,-119.50944444444444
2021,8,11,SD,2.379,JCT RTE 5 LT LANES,117000,3276,2.8,32.76213888888889,-117.16425000000001
2021,8,11,SD,2.379,JCT RTE 5 LT LANES,89000,1068,1.2,32.76213888888889,-117.16425000000001
2021,8,11,SD,2.41,"SAN DIEGO, JCT. RTE. 163",153000,4131,2.7,32.76233333333333,-117.16377777777778
2021,8,11,SD,2.41,"SAN DIEGO, JCT. RTE. 163",170000,4760,2.8,32.76233333333333,-117.16377777777778
2021,8,11,SD,4.378,"SAN DIEGO, JCT. RTE. 805",154000,4928,3.2,32.77175,-117.13180555555554
2021,8,11,SD,5.638,JCT. RTE. 15,238000,8330,3.5,32.7785,-117.11233333333332
2021,8,11,SD,5.638,JCT. RTE. 15,212000,6360,3.0,32.7785,-117.11233333333332
2021,8,11,SD,8.336,COLLEGE AVENUE,183000,3660,2.0,32.779333333333334,-117.06638888888888
2021,8,11,SD,10.57,FLETCHER PARKWAY,103000,4532,4.4,32.77327777777778,-117.03008333333334
2021,8,11,SD,10.57,FLETCHER PARKWAY,118000,4366,3.7,32.77327777777778,-117.03008333333334
2021,8,11,SD,15.8,"EL CAJON, JCT. RTE. 67 NORTH",183000,8601,4.7,32.80294444444444,-116.96261111111112
2021,8,11,SD,15.8,"EL CAJON, JCT. RTE. 67 NORTH",202000,5858,2.9,32.80294444444444,-116.96261111111112
2021,8,11,SD,18.727,GREENFIELD DRIVE,110000,3069,2.79,32.81169444444444,-116.91744444444446
2021,8,11,SD,18.727,GREENFIELD DRIVE,81000,9582,11.83,32.81169444444444,-116.91744444444446
2021,8,11,SD,37.831,"JCT. RTE. 79 NORTH, JAPATUL VALLEY ROAD",24600,2952,12.0,32.82747222222223,-116.62544444444444
2021,8,11,SD,37.831,"JCT. RTE. 79 NORTH, JAPATUL VALLEY ROAD",23600,3210,13.6,32.82747222222223,-116.62544444444444
2021,8,11,SD,51.98,CAMERON ROAD,16900,2172,12.85,32.718805555555555,-116.47036111111112
2021,8,11,SD,65.904,JCT. RTE. 94 SOUTH,17100,2375,13.89,32.677305555555556,-116.29125
2021,8,11,SD,65.904,JCT. RTE. 94 SOUTH,15400,3986,25.88,32.677305555555556,-116.29125
2021,8,11,IMP,10.01,JCT. RTE. 98,14500,2016,13.9,32.72694444444445,-116.02572222222223
2021,8,11,IMP,10.01,JCT. RTE. 98,13500,1877,13.9,32.72694444444445,-116.02572222222223
2021,8,11,IMP,23.48,DUNAWAY ROAD,14100,2273,16.12,32.76911111111111,-115.80052777777777
2021,8,11,IMP,29.933,DREW ROAD,16400,2663,16.24,32.774138888888885,-115.69038888888889
2021,8,11,IMP,37.972,JCT. RTE. 86,34500,3692,10.7,32.77397222222222,-115.55222222222221
2021,8,11,IMP,37.972,JCT. RTE. 86,34500,3509,10.17,32.77397222222222,-115.55222222222221
2021,8,11,IMP,40.944,JCT. RTE. 111,27500,4290,15.6,32.773944444444446,-115.50122222222222
2021,8,11,IMP,40.944,JCT. RTE. 111,20100,3990,19.85,32.773944444444446,-115.50122222222222
2021,8,11,IMP,47.783,JCT RTE 7/ORCHARD ROAD,15500,3300,21.29,32.77344444444444,-115.38375
2021,8,11,IMP,53.497,JCT. RTE. 115 NORTH,15100,3287,21.77,32.77313888888889,-115.28563888888888
2021,8,11,IMP,53.497,JCT. RTE. 115 NORTH,16000,3813,23.83,32.77313888888889,-115.28563888888888
2021,8,11,IMP,65.752,EAST JCT. RTE. 98 WEST,19300,3520,18.24,32.71077777777778,-115.08919444444444
2021,8,11,IMP,65.752,EAST JCT. RTE. 98 WEST,21200,4009,18.91,32.71077777777778,-115.08919444444444
2021,8,11,IMP,96.544,4TH AVENUE,15500,3984,25.7,32.73191666666667,-114.62463888888888
