year,DISTRICT,ROUTE,COUNTY,PM,DESCRIPTION,BACK_PEAK_HOUR,BACK_PEAK_MADT,BACK_AADT,AHEAD_PEAK_HOUR,AHEAD_PEAK_MADT,AHEAD_AADT
2020,12,1,ORA,0.78,"DANA POINT, DOHENY PARK ROAD",4250,42000,38900,4350,43500,38900
2020,12,1,ORA,8.43,"LAGUNA BEACH, MOUNTAIN ROAD",3200,40500,37900,3200,40500,37900
2020,12,1,ORA,9.418,"LAGUNA BEACH, JCT. RTE. 133 NORTH",3400,43000,38800,3850,43000,38800
2020,12,1,ORA,9.6,"LAGUNA BEACH, CLIFF DR/ ASTER ST",3750,41000,38500,3750,41000,38500
2020,12,1,ORA,11.5,"LAGUNA BEACH, NORTH CITY LIMITS",3550,39500,36800,3600,40500,36800
2020,12,1,ORA,18.073,"NEWPORT BEACH, BAYSIDE DR",4550,52000,47200,5500,62000,56500
2020,12,1,ORA,18.446,"NEWPORT BEACH, DOVER DR",4850,55000,50200,4850,55000,50200
2020,12,1,ORA,19.797,"NEWPORT BEACH, JCT. RTE. 55",4950,56000,49600,5900,54000,49600
2020,12,1,ORA,20.37,"NEWPORT BEACH, BALBOA BLVD/SUPERIOR AVE",6000,54000,50600,6000,54000,50600
2020,12,1,ORA,21.549,SANTA ANA RIVER BRIDGE,4650,42500,38800,4650,42500,39800
2020,12,1,ORA,22.09,"HUNTINGTON BEACH, BROOKHURST ST",4750,43000,40300,4800,43000,40300
2020,12,1,ORA,23.739,"HUNTINGTON BEACH, JCT. RTE. 39 NORTH",4400,40000,38300,4400,40000,37200
2020,12,1,ORA,25.89,"HUNTINGTON BEACH, GOLDENW ST",4500,41000,38200,4500,41000,38200
2020,12,1,ORA,29.89,"SUNSET BEACH, WARNER AVE",5500,49000,45700,4850,44000,41200
2020,12,1,ORA,32.714,SEAL BEACH BLVD,4600,41500,39200,4850,44000,41200
2020,12,1,ORA,32.721,"SEAL BEACH, SEAL BEACH BOULVARD",4850,50000,47300,4900,51000,47300
2020,7,1,LA,1.86,"LONG BEACH, BELLFLOWER BLVD",3050,35000,31000,2300,26500,23500
2020,7,1,LA,1.973,"LONG BEACH, JCT. RTE. 22",2300,26500,23500,3050,34500,30500
2020,7,1,LA,2.751,"LONG BEACH, ANAHEIM ST",3050,34500,30500,2550,29000,25500
2020,7,1,LA,10.532,"LOS ANGELES, AVALON BLVD",3200,34000,30000,3950,42000,37000
2020,7,1,LA,11.61,"LOS ANGELES, JCT. RTE. 110",3950,42500,37500,4000,58000,51000
2020,7,1,LA,12.171,"LOS ANGELES, VERMONT AVE",4000,58000,51000,3800,55000,48000
2020,7,1,LA,12.523,"LOS ANGELES, NORMANDIE AVE",3800,55000,48000,3550,50000,44000
2020,7,1,LA,13.1,"LOS ANGELES, JCT. RTE. 213",3600,51000,44500,4600,63000,55000
2020,7,1,LA,14.634,"TORRANCE, CRENSHAW BLVD",4450,59000,52000,3500,45000,39500
2020,7,1,LA,16.005,"TORRANCE, JCT. RTE. 107",3050,40000,35000,3450,44000,38500
