DI,RTE,CO,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH,YEAR,,
12,1,ORA,22.5,623,O,18,S,2531,8.82,79.39,7,8,WED,JAN,N,2539,10.02,70.1,7.02,17,THU,APR,2018,,
12,1,ORA,30.141,937,A,16,N,14488,34.33,82.69,28.39,9,FRI,JUN,S,3012,7.82,75.49,5.9,19,WED,OCT,2018,,
7,1,LA,27.1,425,O,17,N,4363,7.51,70.25,5.27,7,TUE,OCT,N,3980,7.66,62.8,4.81,17,TUE,JUN,2018,,
7,1,LA,40.769,720,A,16,N,2106,7.83,55.04,4.31,12,MON,FEB,N,2742,9.64,58.2,5.61,17,TUE,JAN,2018,,
7,1,LA,48.171,45,A,16,N,1440,8.94,54.65,4.89,11,SAT,AUG,S,1497,9.91,51.27,5.08,15,FRI,MAR,2018,,
5,1,SB,0,517,A,18,S,786,11.5,88.22,10.15,5,MON,APR,N,725,11.04,84.8,9.36,17,TUE,JAN,2018,,
5,1,SB,19.251,296,B,18,S,1856,31.18,89.66,27.96,6,WED,SEP,N,1494,27,83.37,22.51,17,TUE,SEP,2018,,
5,1,SB,20.565,518,A,18,N,527,8.92,51.72,4.61,11,FRI,OCT,S,545,8.36,57.07,4.77,13,FRI,DEC,2018,,
5,1,SB,22.519,294,O,18,N,1420,11.28,58.41,6.59,7,THU,MAR,N,1380,12.65,50.61,6.4,17,WED,FEB,2018,,
5,1,SB,23.296,286,A,17,N,1117,9.25,58.51,5.41,7,THU,MAY,S,1049,9.99,50.9,5.08,17,WED,AUG,2018,,
5,1,SB,26.69,288,A,17,N,1112,10.64,63.11,6.71,7,THU,NOV,S,972,9.43,62.27,5.87,17,MON,FEB,2018,,
5,1,SB,29.891,539,B,17,S,1102,9.53,71.98,6.86,11,FRI,SEP,S,1052,10.6,61.77,6.55,17,TUE,AUG,2018,,
5,1,SB,29.891,290,A,18,S,1156,11.52,59.25,6.82,7,WED,AUG,N,1285,11.52,65.86,7.59,17,MON,NOV,2018,,
5,1,SB,36.189,292,B,17,S,1119,12.44,59.78,7.44,7,TUE,SEP,N,1255,12.61,66.16,8.34,16,TUE,SEP,2018,,
5,1,SB,31.042,223,A,17,S,1437,9.93,75.63,7.51,6,WED,APR,N,1526,11.99,66.52,7.98,16,THU,JUL,2018,,
5,1,SB,41.81,519,A,17,N,282,13.35,72.31,9.65,6,TUE,OCT,S,269,14.03,65.61,9.21,16,TUE,AUG,2018,,
5,1,SB,49.199,128,A,17,N,297,7.92,58.47,4.63,6,FRI,OCT,S,404,10.99,57.31,6.3,16,MON,JUL,2018,,
5,1,SLO,15.268,142,O,17,N,773,9.4,73.55,6.91,10,THU,APR,S,653,9.75,59.85,5.84,17,MON,APR,2018,,
5,1,SLO,16.77,520,A,17,N,1533,8.44,61.64,5.2,12,THU,FEB,N,1727,7.65,76.55,5.86,14,FRI,SEP,2018,,
5,1,SLO,27.883,271,A,17,S,1242,7.97,59.8,4.77,8,TUE,APR,N,1482,9.54,59.61,5.69,17,TUE,APR,2018,,
5,1,SLO,30.135,535,A,18,N,980,9.52,52.07,4.96,12,SAT,SEP,N,1090,10.63,51.88,5.51,15,FRI,SEP,2018,,
5,1,SLO,45.991,144,B,18,N,537,13.83,51.24,7.09,11,SAT,AUG,S,587,14.6,53.07,7.75,15,SAT,AUG,2018,,
5,1,SLO,48.26,551,A,18,N,573,12.57,60.57,7.61,11,SAT,AUG,S,637,14.64,57.8,8.46,14,SUN,SEP,2018,,
5,1,MON,75.135,259,A,16,S,2330,7.55,62.82,4.74,8,FRI,OCT,N,2484,8.59,58.84,5.06,16,MON,OCT,2018,,
5,1,MON,79.357,261,B,16,S,4022,7.96,68.45,5.45,7,THU,JUL,N,3821,8.12,63.77,5.18,15,THU,OCT,2018,,
5,1,MON,89.177,525,O,16,S,3140,7.92,71.4,5.66,7,WED,JAN,N,3517,9.47,66.9,6.34,16,THU,JUL,2018,,
4,1,SM,0,163,A,16,S,470,15.79,58.68,9.26,12,SUN,JUL,S,480,15.85,59.7,9.46,13,SUN,JUL,2018,,
4,1,SM,18.189,47,A,16,S,586,13.64,60.04,8.19,12,SAT,JUL,N,692,15.92,60.76,9.67,15,SUN,APR,2018,,
4,1,SM,18.189,46,B,16,S,652,15.17,59.27,8.99,12,SUN,JUL,N,800,17.2,64.15,11.03,16,SUN,APR,2018,,
4,1,SM,26.432,433,B,16,S,671,11.23,65.85,7.39,10,SAT,JUL,N,744,13.05,62.84,8.2,17,SUN,JUL,2018,,
4,1,SM,30.225,164,B,16,S,1228,7.2,62.91,4.53,7,MON,APR,N,1262,8.53,54.59,4.66,15,FRI,APR,2018,,
4,1,SM,35.336,165,B,16,S,1004,10.44,59.73,6.24,12,SAT,OCT,N,1006,11.49,54.38,6.25,15,SUN,OCT,2018,,
4,1,SM,43.464,166,B,16,N,3093,8.22,74.58,6.13,7,THU,APR,S,2638,8,65.36,5.23,16,TUE,JAN,2018,,
4,1,SF,4.05,103,B,16,N,2535,6.44,55.35,3.56,10,SAT,OCT,S,2505,6.7,52.55,3.52,16,TUE,JAN,2018,,
4,1,MRN,0,64,A,16,S,845,7.66,67.12,5.14,8,TUE,APR,N,967,8.83,66.64,5.88,17,TUE,OCT,2018,,
4,1,MRN,3.35,408,A,16,N,465,18.81,62,11.66,11,SUN,APR,S,563,16.9,83.53,14.12,18,SUN,APR,2018,,
4,1,MRN,28.6,65,A,16,N,356,14.5,65.08,9.44,10,SAT,JUL,N,406,18.61,57.84,10.76,13,SAT,JUL,2018,,
4,1,SON,0.19,1,B,16,N,75,11.37,60.98,6.93,12,MON,APR,N,94,12.66,68.61,8.69,13,MON,APR,2018,,
1,1,MEN,15.95,181,A,16,S,167,12.84,60.73,7.8,12,SUN,AUG,N,150,12.65,55.35,7,15,MON,AUG,2018,,
1,1,MEN,42.95,119,A,18,S,278,12.16,75.75,9.21,10,SUN,SEP,N,254,12.46,67.55,8.42,16,FRI,SEP,2018,,
1,1,MEN,49.37,114,B,16,N,367,11.7,53.42,6.25,12,SAT,AUG,N,397,11.94,56.63,6.76,13,SAT,AUG,2018,,
1,1,MEN,90.63,999,B,16,N,73,22.12,60.33,13.35,12,MON,AUG,S,93,25.41,66.91,17,14,SUN,AUG,2018,,
7,2,LA,20.574,243,O,16,W,7348,8.73,70.82,6.18,8,TUE,SEP,E,7042,9.49,62.41,5.92,16,TUE,APR,2018,,
2,3,TRI,30.889,103,B,18,N,89,8.97,59.33,5.32,12,TUE,NOV,S,89,9.39,56.69,5.32,16,FRI,NOV,2018,,
2,3,TRI,30.86,104,A,18,S,217,11.53,56.51,6.52,12,WED,FEB,S,228,11.26,60.8,6.85,15,FRI,NOV,2018,,
2,3,TRI,37.9,105,B,18,N,80,9.19,71.43,6.56,12,SAT,SEP,N,96,10.09,78.05,7.88,17,FRI,SEP,2018,,
2,3,TRI,59.64,226,B,18,S,24,5.77,80,4.62,7,MON,FEB,N,28,6.15,87.5,5.38,16,MON,MAR,2018,,
2,3,SIS,8.8,106,A,17,N,32,12.83,66.67,8.56,9,SAT,AUG,S,33,13.9,63.46,8.82,14,THU,AUG,2018,,
2,3,SIS,32.2,224,A,17,N,264,9.83,64.39,6.33,7,MON,MAY,S,248,9.4,63.27,5.95,17,TUE,FEB,2018,,
2,3,SIS,44.67,237,O,17,N,192,8.66,72.18,6.25,7,TUE,NOV,S,212,10.45,66.04,6.9,17,TUE,AUG,2018,,
2,3,SIS,47.264,107,B,18,S,824,10.65,51.4,5.47,11,TUE,JUL,S,798,10.19,52.02,5.3,15,FRI,DEC,2018,,
2,3,SIS,49.207,189,B,17,N,482,10.21,50.31,5.14,12,WED,MAY,N,566,9.77,61.72,6.03,17,WED,MAY,2018,,
2,3,SIS,47.38,108,A,17,S,233,8.51,80.07,6.81,7,WED,NOV,N,212,10,61.99,6.2,16,THU,NOV,2018,,
4,4,CC,11.4,912,B,18,W,3376,8.13,51.01,4.15,7,TUE,NOV,E,3259,7.34,54.52,4,14,FRI,JUL,2018,,
4,4,CC,16.834,121,A,18,W,8033,7.4,68.31,5.05,7,FRI,MAR,E,8216,7.9,65.41,5.17,17,WED,MAR,2018,,
4,4,CC,20.102,416,A,18,W,6918,5,84.12,4.21,5,THU,MAR,W,7095,7.22,59.8,4.32,16,TUE,DEC,2018,,
4,4,CC,27.79,122,A,18,W,5304,5.84,73.39,4.29,6,THU,SEP,E,5035,7.32,55.61,4.07,16,THU,DEC,2018,,
4,4,CC,28.94,542,A,18,W,4356,6.33,60.28,3.82,7,WED,SEP,E,5506,7.77,62.06,4.82,17,TUE,SEP,2018,,
10,4,SJ,6.037,327,A,18,W,779,7.07,90.37,6.39,4,MON,JUL,E,994,10.8,75.53,8.16,15,FRI,JUN,2018,,
10,4,SJ,6.037,328,B,18,W,809,7.15,89.39,6.39,4,MON,JUL,E,970,10.84,70.7,7.66,16,FRI,MAY,2018,,
10,4,SJ,14.045,54,A,16,W,832,7.53,75.29,5.67,6,MON,APR,E,1340,12.21,74.82,9.14,17,FRI,OCT,2018,,
10,4,SJ,16.059,59,A,16,E,3306,8.01,52.59,4.21,7,WED,SEP,E,3182,7.75,52.3,4.05,14,FRI,APR,2018,,
10,4,SJ,24.87,313,A,18,E,496,10.96,74.92,8.21,11,SAT,MAY,W,526,12.29,70.89,8.71,13,SUN,JUL,2018,,
10,4,SJ,24.87,336,B,18,E,440,10.23,75.21,7.69,10,SAT,FEB,E,478,10.25,81.57,8.36,19,FRI,AUG,2018,,
10,4,SJ,33.08,48,A,18,W,550,12.05,77.57,9.34,12,SAT,MAY,W,551,11.42,81.99,9.36,19,FRI,AUG,2018,,
10,4,SJ,33.08,352,B,18,E,467,11.76,81.93,9.63,11,SUN,NOV,W,499,13.1,78.58,10.3,17,FRI,MAY,2018,,
11,5,SD,0.878,501,A,18,S,1792,6.22,63.86,3.97,11,SAT,FEB,S,2808,8.23,75.63,6.22,16,THU,MAY,2018,,
11,5,SD,4.632,901,A,18,N,5980,5.62,66.53,3.74,9,MON,NOV,S,7687,8.09,59.4,4.8,15,FRI,FEB,2018,,
11,5,SD,8.562,902,B,18,S,12200,9.57,69.48,6.65,12,THU,MAY,S,15161,11.2,73.76,8.26,13,THU,MAY,2018,,
11,5,SD,11.129,952,A,18,N,8497,5.81,70.41,4.09,6,FRI,DEC,S,9245,7.76,57.44,4.45,14,FRI,MAR,2018,,
11,5,SD,12.647,903,A,18,N,8453,6.43,78.64,5.06,6,FRI,MAY,S,7912,7.76,61.03,4.73,14,FRI,OCT,2018,,
11,5,SD,17.53,896,A,18,N,6481,6.29,66.59,4.19,6,WED,SEP,N,6241,6.65,60.58,4.03,15,WED,JUN,2018,,
11,5,SD,20.056,800,B,18,S,8067,7.1,54.4,3.86,8,TUE,JUN,S,8144,7.41,52.63,3.9,14,FRI,AUG,2018,,
11,5,SD,20.056,931,A,18,S,7354,6.76,57.22,3.87,8,TUE,SEP,S,8451,7.59,58.54,4.45,16,FRI,MAY,2018,,
11,5,SD,22.262,801,B,18,N,8527,5.88,64.66,3.8,6,THU,APR,S,9179,7.41,55.26,4.09,15,THU,NOV,2018,,
11,5,SD,25.947,802,B,18,N,9331,7.32,59.62,4.36,7,WED,OCT,S,11182,9.41,55.58,5.23,15,WED,JAN,2018,,
11,5,SD,30.682,803,B,18,S,6020,7.43,57.67,4.28,8,FRI,SEP,N,5953,6.84,61.95,4.24,16,TUE,OCT,2018,,
11,5,SD,30.682,502,A,18,S,10779,7.79,58.99,4.59,8,TUE,FEB,S,9179,7.7,50.78,3.91,14,FRI,MAY,2018,,
11,5,SD,36.266,898,A,18,S,9082,6.94,55.78,3.87,7,WED,MAY,N,8428,6.81,52.75,3.59,14,TUE,MAY,2018,,
11,5,SD,41.509,978,B,18,N,7893,6.69,54.2,3.63,9,WED,JUL,N,7705,7.04,50.32,3.54,15,TUE,OCT,2018,,
11,5,SD,42.712,661,B,18,N,7237,6.34,53.54,3.39,12,SUN,MAR,N,7455,6.89,50.75,3.5,16,WED,MAR,2018,,
11,5,SD,51.201,905,A,18,N,7561,6.99,51.29,3.59,10,SAT,AUG,N,7377,6.49,53.91,3.5,15,FRI,APR,2018,,
11,5,SD,52.834,907,O,18,S,7142,6.57,53.8,3.53,11,SUN,NOV,S,7041,6.53,53.35,3.48,13,SUN,NOV,2018,,
11,5,SD,53.932,906,B,18,S,6566,7.51,50.3,3.78,10,SUN,MAY,S,6357,6.31,57.95,3.65,16,WED,SEP,2018,,
12,5,ORA,0.483,401,O,18,S,6439,4.66,96.67,4.5,6,SAT,APR,N,6040,8.39,50.33,4.22,16,SUN,JUN,2018,,
12,5,ORA,17.472,902,A,18,N,15960,8.08,62.21,5.03,8,TUE,AUG,S,12737,7.5,53.49,4.01,16,MON,JUL,2018,,
12,5,ORA,30.263,904,B,18,N,10794,6.42,61.98,3.98,7,WED,JUL,N,9621,6.65,53.39,3.55,14,SAT,OCT,2018,,
12,5,ORA,30.263,905,A,18,N,12274,7.03,59.68,4.19,7,WED,JUL,S,11211,6.3,60.77,3.83,16,THU,OCT,2018,,
12,5,ORA,33.088,906,A,18,N,12611,5.72,58.31,3.34,7,WED,SEP,N,11993,6.06,52.32,3.17,16,MON,JUL,2018,,
