,DI,RTE,CO,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
0,12,1,ORA,22.5,623,O,20,S,2637,9.56,80.82,7.73,8,TUE,DEC,N,2533,10.55,70.32,7.42,17,FRI,FEB
1,12,1,ORA,30.141,937,A,19,S,2385,9.95,58,5.77,7,WED,OCT,S,2098,9.6,52.87,5.08,16,FRI,AUG
2,5,1,SB,0,517,A,20,S,1327,17.46,94.45,16.49,6,TUE,MAY,N,628,10.76,72.52,7.81,16,MON,MAR
3,5,1,SB,19.251,296,B,20,S,924,13.48,91.58,12.34,6,THU,NOV,N,749,11.85,84.44,10,17,THU,NOV
4,5,1,SB,20.565,518,A,20,S,507,9.15,53.31,4.88,12,SAT,NOV,N,534,9.69,53.03,5.14,17,THU,NOV
5,5,1,SB,22.519,294,O,20,N,1373,9.2,57.21,5.26,7,TUE,FEB,S,1400,10.42,51.55,5.37,17,THU,FEB
6,5,1,SB,23.296,286,A,20,N,1143,10.95,56.7,6.21,7,TUE,FEB,S,1073,7.92,73.59,5.83,20,WED,DEC
7,5,1,SB,26.69,288,A,20,N,832,9.33,61.86,5.77,7,TUE,SEP,S,884,10.35,59.29,6.13,16,TUE,MAR
8,5,1,SB,29.891,290,A,20,S,1250,13.66,60.77,8.3,7,TUE,NOV,N,1314,13.37,65.24,8.72,17,WED,FEB
9,5,1,SB,29.891,539,B,20,N,1027,11.13,60.63,6.75,7,TUE,NOV,S,972,11.12,57.41,6.38,17,WED,NOV
10,5,1,SB,36.189,292,B,20,S,1205,12.69,60.8,7.71,7,WED,FEB,N,1277,12.77,64.04,8.18,16,WED,NOV
11,5,1,SB,31.042,223,A,20,S,1630,12.13,74.33,9.02,6,TUE,OCT,N,1542,12.65,67.45,8.53,16,MON,OCT
12,5,1,SB,41.81,519,A,20,S,232,9.4,63.56,5.97,12,SAT,AUG,S,374,14.01,68.75,9.63,16,MON,AUG
13,5,1,SB,49.199,128,A,20,S,302,9.03,50.67,4.57,11,SAT,OCT,S,379,10.28,55.82,5.74,16,TUE,SEP
14,5,1,SLO,15.268,142,O,20,N,556,10.2,54.83,5.6,12,SAT,AUG,N,593,10.95,54.5,5.97,14,SUN,FEB
15,5,1,SLO,16.77,520,A,20,N,1337,9.37,64.71,6.07,12,FRI,JUL,N,1529,10.49,66.16,6.94,17,WED,MAR
16,5,1,SLO,27.883,271,A,20,N,1355,11.59,54.73,6.34,12,SAT,JUN,N,1401,12.45,52.69,6.56,13,SAT,AUG
17,5,1,SLO,30.135,535,A,20,N,1100,11.99,53.82,6.45,12,SAT,JUN,N,1154,12.93,52.34,6.77,13,FRI,JUL
18,5,1,SLO,45.991,144,B,20,N,491,15.05,51.47,7.75,12,MON,FEB,S,566,17.12,52.17,8.93,15,SAT,FEB
19,5,1,SLO,48.26,551,A,20,N,451,10.8,62.9,6.79,12,SAT,JUN,N,580,15.56,56.15,8.74,14,SAT,FEB
20,5,1,SLO,71.341,273,O,20,S,177,17.19,52.52,9.03,12,SUN,OCT,S,244,17.19,72.4,12.44,15,MON,OCT
21,5,1,MON,75.135,532,B,20,S,2335,9.04,57.75,5.22,11,SAT,OCT,N,2475,10.17,54.42,5.53,16,THU,OCT
22,5,1,MON,79.357,261,B,20,N,2185,8.59,54.56,4.68,12,FRI,NOV,N,3209,10.51,65.42,6.88,15,TUE,OCT
23,5,1,SCR,0.716,44,B,20,N,1787,9.12,53.73,4.9,7,TUE,FEB,S,1847,9.77,51.81,5.06,16,FRI,JAN
24,5,1,SCR,2.683,414,A,20,N,3017,8.07,71.77,5.79,5,FRI,NOV,S,2882,10.14,54.51,5.53,15,THU,NOV
25,5,1,SCR,9.153,428,B,20,N,3321,6.62,72.88,4.83,5,TUE,MAR,S,3646,9.57,55.37,5.3,16,WED,FEB
26,5,1,SCR,9.153,425,A,20,S,4772,10.15,59.29,6.02,7,FRI,NOV,S,5198,9.96,65.84,6.55,14,THU,NOV
27,5,1,SCR,12.088,701,B,20,N,3453,7.06,62.04,4.38,8,TUE,MAY,S,3429,7.8,55.81,4.35,16,SUN,JUN
28,5,1,SCR,13.62,721,X,20,N,3047,8.21,54.53,4.48,7,WED,NOV,S,2969,7.81,55.84,4.36,14,WED,NOV
29,4,1,SM,0,163,A,19,S,478,14.9,63.14,9.41,12,SUN,JUL,N,527,13.33,77.84,10.37,19,SUN,JUL
30,4,1,SM,26.432,433,B,19,N,688,11.62,65.34,7.59,11,SAT,OCT,S,857,14.25,66.38,9.46,17,SUN,OCT
