year,RTE,DIST,CNTY,POSTMILE,DESCRIPTION,VEHICLE_AADT_TOTAL,TRUCK_AADT_TOTAL,TRK_PERCENT_TOT
2020,1,12,ORA,0.129,"DANA POINT, JCT. RTE. 5",38250,2379,6.22
2020,1,12,ORA,0.78,"DANA POINT, DOHENY PARK ROAD",38900,1894,4.87
2020,1,12,ORA,9.418,"LAGUNA BEACH, JCT. RTE. 133 NORTH",38800,675,1.74
2020,1,12,ORA,9.418,"LAGUNA BEACH, JCT. RTE. 133 NORTH",38800,675,1.74
2020,1,12,ORA,19.797,"NEWPORT BEACH, JCT. RTE. 55, NEWPORT BOULEVARD",49600,565,1.14
2020,1,12,ORA,19.797,"NEWPORT BEACH, JCT. RTE. 55, NEWPORT BOULEVARD",49600,397,0.8
2020,1,12,ORA,21.549,SANTA ANA RIVER BRIDGE,38800,272,0.7
2020,1,12,ORA,23.739,"HUNTINGTON BEACH, JCT. RTE. 39 NORTH, BEACH BOULEVARD",38300,306,0.8
2020,1,7,LA,0,LOS ANGELES/ORANGE COUNTY LINE,39500,529,1.34
2020,1,7,LA,1.973,"LONG BEACH, JCT. RTE. 22, SEVENTH STREET",23500,630,2.68
2020,1,7,LA,1.973,"LONG BEACH, JCT. RTE. 22, SEVENTH STREET",30500,955,3.13
2020,1,7,LA,7.288,"LONG BEACH, JCT. RTE. 710, LONG BEACH FREEWAY",36500,2197,6.02
2020,1,7,LA,7.288,"LONG BEACH, JCT. RTE. 710, LONG BEACH FREEWAY",35000,6657,19.02
2020,1,7,LA,8.266,"LONG BEACH, JCT. RTE. 103, TERMINAL ISLAND FREEWAY",30500,6689,21.93
2020,1,7,LA,8.266,"LONG BEACH, JCT. RTE. 103, TERMINAL ISLAND FREEWAY",29000,7154,24.67
2020,1,7,LA,11.61,"LOS ANGELES, JCT. RTE. 110, HARBOR FREEWAY",37500,1841,4.91
2020,1,7,LA,11.61,"LOS ANGELES, JCT. RTE. 110, HARBOR FREEWAY",51000,2754,5.4
2020,1,7,LA,13.1,"LOS ANGELES, JCT. RTE. 213, WESTERN AVENUE",55000,2607,4.74
2020,1,7,LA,16.005,"TORRANCE, JCT. RTE. 107, HAWTHORNE BOULEVARD",35000,1281,3.66
2020,1,7,LA,16.005,"TORRANCE, JCT. RTE. 107, HAWTHORNE BOULEVARD",38500,1282,3.33
2020,1,7,LA,21.919,"MANHATTAN BEACH, ARTESIA BOULEVARD",42500,1415,3.33
2020,1,7,LA,21.919,"MANHATTAN BEACH, ARTESIA BOULEVARD",41500,1382,3.33
2020,1,7,LA,25.924,"LOS ANGELES, JCT. RTE. 105, GLENN ANDERSON FREEWAY",56000,1725,3.08
2020,1,7,LA,27.363,"LOS ANGELES, LOS ANGELES INTERNATIONAL AIRPORT, VIA LINCOLN BOULEVARD",33500,724,2.16
2020,1,7,LA,29.084,"LOS ANGELES, MANCHESTER AVENUE",51000,1102,2.16
2020,1,7,LA,31.29,"LOS ANGELES, JCT. RTE. 90, MARINA FREEWAY",47000,1015,2.16
2020,1,7,LA,31.29,"LOS ANGELES, JCT. RTE. 90, MARINA FREEWAY",59000,1481,2.51
2020,1,7,LA,34.576,"SANTA MONICA, JCT. RTE. 10, SANTA MONICA FREEWAY",39000,1193,3.06
2020,1,7,LA,35.17,"SANTA MONICA, MCCLURE TUNNEL",62000,3367,5.43
2020,1,7,LA,40.769,"JCT. RTE. 27, TOPANGA CANYON BOULEVARD",48000,1291,2.69
2020,1,7,LA,40.769,"JCT. RTE. 27, TOPANGA CANYON BOULEVARD",44500,1353,3.04
2020,1,7,LA,59.901,"MALIBU, JCT. RTE. 23, DECKER CANYON ROAD",11100,603,5.43
2020,1,7,LA,59.901,"MALIBU, JCT. RTE. 23, DECKER CANYON ROAD",10600,576,5.43
2020,1,7,VEN,9.866,CALLEGUAS CREEK,9900,645,6.52
2020,1,7,VEN,15.053,"OXNARD, PLEASANT VALLEY ROAD/RICE AVENUE",11100,726,6.54
2020,1,7,VEN,21.075,"OXNARD, JCT. RTE. 101, VENTURA FREEWAY",26500,726,2.74
2020,1,7,VEN,21.25,"OXNARD, JCT. RTE. 101, VENTURA FREEWAY",3800,339,8.91
2020,1,7,VEN,27.675,"SEACLIFF COLONY, JCT. RTE. 101, VENTURA FREEWAY",530,50,9.41
