,DI,RTE,CO,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
0,12,1,ORA,22.5,623,O,19,S,2567,8.59,78.89,6.78,8,TUE,SEP,N,2563,9.83,68.82,6.77,18,WED,MAR
1,12,1,ORA,30.141,937,A,19,S,2385,9.95,58,5.77,7,WED,OCT,S,2098,9.6,52.87,5.08,16,FRI,AUG
2,7,1,LA,27.1,425,O,17,N,4363,7.51,70.25,5.27,7,TUE,OCT,N,3980,7.66,62.8,4.81,17,TUE,JUN
3,5,1,SB,0,517,A,18,S,786,11.5,88.22,10.15,5,MON,APR,N,725,11.04,84.8,9.36,17,TUE,JAN
4,5,1,SB,19.251,296,B,18,S,1856,31.18,89.66,27.96,6,WED,SEP,N,1494,27,83.37,22.51,17,TUE,SEP
5,5,1,SB,20.565,518,A,19,S,527,8.08,56.24,4.55,12,FRI,OCT,N,536,8.72,53.02,4.62,17,THU,JAN
6,5,1,SB,22.519,294,O,18,N,1420,11.28,58.41,6.59,7,THU,MAR,N,1380,12.65,50.61,6.4,17,WED,FEB
7,5,1,SB,23.296,286,A,17,N,1117,9.25,58.51,5.41,7,THU,MAY,S,1049,9.99,50.9,5.08,17,WED,AUG
8,5,1,SB,26.69,288,A,17,N,1112,10.64,63.11,6.71,7,THU,NOV,S,972,9.43,62.27,5.87,17,MON,FEB
9,5,1,SB,29.891,290,A,18,S,1156,11.52,59.25,6.82,7,WED,AUG,N,1285,11.52,65.86,7.59,17,MON,NOV
10,5,1,SB,29.891,539,B,17,S,1102,9.53,71.98,6.86,11,FRI,SEP,S,1052,10.6,61.77,6.55,17,TUE,AUG
11,5,1,SB,36.189,292,B,17,S,1119,12.44,59.78,7.44,7,TUE,SEP,N,1255,12.61,66.16,8.34,16,TUE,SEP
12,5,1,SB,31.042,223,A,17,S,1437,9.93,75.63,7.51,6,WED,APR,N,1526,11.99,66.52,7.98,16,THU,JUL
13,5,1,SB,41.81,519,A,17,N,282,13.35,72.31,9.65,6,TUE,OCT,S,269,14.03,65.61,9.21,16,TUE,AUG
14,5,1,SB,49.199,128,A,19,S,311,11.9,50.16,5.97,11,SAT,APR,S,385,12.29,60.16,7.39,17,WED,JUL
15,5,1,SLO,15.268,142,O,19,N,596,6.84,76.41,5.22,7,WED,OCT,N,653,9.2,62.19,5.72,14,SUN,AUG
16,5,1,SLO,16.77,520,A,17,N,1533,8.44,61.64,5.2,12,THU,FEB,N,1727,7.65,76.55,5.86,14,FRI,SEP
17,5,1,SLO,30.135,535,A,18,N,980,9.52,52.07,4.96,12,SAT,SEP,N,1090,10.63,51.88,5.51,15,FRI,SEP
18,5,1,SLO,45.991,144,B,18,N,537,13.83,51.24,7.09,11,SAT,AUG,S,587,13.74,56.39,7.75,14,TUE,JUL
19,5,1,SLO,48.26,551,A,18,N,573,12.57,60.57,7.61,11,SAT,AUG,S,637,14.64,57.8,8.46,14,SUN,SEP
20,5,1,SLO,71.341,273,O,19,N,246,14.42,58.29,8.41,12,TUE,JUL,S,343,18.22,64.35,11.72,15,MON,JUL
21,5,1,MON,75.135,532,B,19,S,2318,7.88,58.91,4.64,10,SAT,SEP,N,2526,8.75,57.78,5.06,16,MON,JUN
22,4,1,SM,0,163,A,19,S,478,14.9,63.14,9.41,12,SUN,JUL,N,527,13.33,77.84,10.37,19,SUN,JUL
23,4,1,SM,26.432,433,B,19,N,688,11.62,65.34,7.59,11,SAT,OCT,S,857,14.25,66.38,9.46,17,SUN,OCT
24,4,1,SM,30.225,164,B,19,S,1259,7.57,62.23,4.71,7,TUE,JAN,N,1852,11.05,62.78,6.93,16,WED,JAN
25,4,1,SM,35.336,165,B,19,S,1216,11.4,55.02,6.27,12,WED,JAN,S,1424,13.69,53.66,7.35,17,FRI,JAN
26,4,1,SF,7.077,104,B,19,N,2679,7.13,57.77,4.12,11,SAT,OCT,N,2777,7.69,55.56,4.27,16,THU,OCT
27,1,1,MEN,2.5,180,O,19,S,192,10.91,58.01,6.33,10,SUN,SEP,N,208,10.52,65.2,6.86,18,SAT,JUL
28,1,1,MEN,15.95,181,A,19,N,136,11.06,57.63,6.37,11,WED,SEP,N,134,10.36,60.63,6.28,15,FRI,JUN
29,1,1,MEN,33.91,123,A,19,N,99,14.1,55,7.75,10,MON,SEP,N,99,14.8,52.38,7.75,14,FRI,JUL
30,1,1,MEN,42.95,119,A,19,S,281,12.93,72.99,9.44,10,SUN,AUG,N,263,14.34,61.59,8.83,15,FRI,JUL
31,1,1,MEN,49.37,114,B,19,S,321,10.2,54.5,5.56,11,SUN,SEP,N,345,10.53,56.74,5.98,16,FRI,JUN
32,1,1,MEN,55.78,145,B,19,N,510,10.09,54.55,5.5,12,SAT,SEP,N,557,11.19,53.71,6.01,15,MON,JUL
33,1,1,MEN,69.39,116,A,19,N,101,11.92,59.06,7.04,12,SAT,MAR,S,112,12.61,61.88,7.8,16,SAT,MAR
34,1,1,MEN,90.63,999,B,19,N,61,14.73,70.93,10.45,11,SUN,SEP,S,62,16.78,63.27,10.62,16,TUE,SEP
35,7,2,LA,17.778,749,O,19,W,8137,7.3,75.14,5.48,12,SUN,JUL,W,8793,8.03,73.8,5.92,13,SAT,AUG
36,7,2,LA,20.574,243,O,19,W,7476,8.72,66.86,5.83,7,TUE,MAR,E,7403,9.28,62.23,5.77,16,TUE,JAN
37,7,2,LA,21.9,903,B,19,W,7319,8.74,68.07,5.95,7,TUE,OCT,E,6947,9.46,59.71,5.65,17,THU,AUG
38,2,3,TRI,30.889,103,B,18,N,89,8.97,59.33,5.32,12,TUE,NOV,S,89,9.39,56.69,5.32,16,FRI,NOV
39,2,3,TRI,30.86,104,A,18,S,217,11.53,56.51,6.52,12,WED,FEB,S,228,11.26,60.8,6.85,15,FRI,NOV
40,2,3,TRI,37.9,105,B,18,N,80,9.19,71.43,6.56,12,SAT,SEP,N,96,10.09,78.05,7.88,17,FRI,SEP
41,2,3,TRI,59.64,226,B,18,S,24,5.77,80,4.62,7,MON,FEB,N,28,6.15,87.5,5.38,16,MON,MAR
