year,RTE,DIST,CNTY,POSTMILE,DESCRIPTION,VEHICLE_AADT_TOTAL,TRUCK_AADT_TOTAL,TRK_PERCENT_TOT,Latitude,Longitude
2019,10,7,LA,19.714,BUSWAY; EAST LA CITY LIMITS,13700.0,1434,10.47,34.055305555555556,-118.19186111111111
2019,10,7,LA,2.155,"SANTA MONICA, JCT. RTE. 1, LINCOLN BOULEVARD INTERCHANGE",150000.0,3780,2.52,34.01488888888889,-118.48597222222223
2019,10,7,LA,5.454,"LOS ANGELES, JCT. RTE. 405, SAN DIEGO FREEWAY INTERCHANGE",238000.0,4641,1.95,34.03136111111111,-118.43358333333333
2019,10,7,LA,5.454,"LOS ANGELES, JCT. RTE. 405, SAN DIEGO FREEWAY INTERCHANGE",251000.0,8484,3.38,34.03136111111111,-118.43358333333333
2019,10,7,LA,8.965,"LOS ANGELES, JCT. RTE. 187, VENICE BOULEVARD INTERCHANGE",260000.0,8788,3.38,34.03666666666666,-118.3756111111111
2019,10,7,LA,8.965,"LOS ANGELES, JCT. RTE. 187, VENICE BOULEVARD INTERCHANGE",280000.0,9464,3.38,34.03666666666666,-118.3756111111111
2019,10,7,LA,11.698,"LOS ANGELES, 10TH AVENUE",322000.0,10884,3.38,34.03541666666666,-118.32838888888888
2019,10,7,LA,14.836,"LOS ANGELES, JCT. RTE. 110, HARBOR FREEWAY INTERCHANGE",350000.0,11830,3.38,34.03811111111111,-118.27425
2019,10,7,LA,14.836,"LOS ANGELES, JCT. RTE. 110, HARBOR FREEWAY INTERCHANGE",259000.0,9454,3.65,34.03811111111111,-118.27425
2019,10,7,LA,16.025,SAN PEDRO STREET (BELOW),260000.0,9490,3.65,34.029583333333335,-118.25625
2019,10,7,LA,0.0,"LOS ANGELES, JCT. RTE. 101, SANTA ANA FREEWAY INTERCHANGE",90000.0,2205,2.45,34.05266666666667,-118.22455555555555
2019,10,7,LA,0.655,"LOS ANGELES, JCT. RTE. 5, GOLDEN STATE FREEWAY INTERCHANGE",90000.0,2205,2.45,34.055388888888885,-118.21419444444444
2019,10,7,LA,0.655,"LOS ANGELES, JCT. RTE. 5, GOLDEN STATE FREEWAY INTERCHANGE",198000.0,6910,3.49,34.055388888888885,-118.21419444444444
2019,10,7,LA,19.668,EAST LOS ANGELES CITY LIMITS,218000.0,6736,3.09,34.055305555555556,-118.1926388888889
