year,RTE,DIST,CNTY,POSTMILE,DESCRIPTION,VEHICLE_AADT_TOTAL,TOT_TRK_AADT,TRK_PERCENT_TOT,Latitude,Longitude
2021,15,11,SD,2.226,JCT. RTE. 94,133000,6783,5.1,32.716833333333334,-117.11780555555555
2021,15,11,SD,3.367,JCT. RTE. 805,168000,3696,2.2,32.732305555555556,-117.11183333333332
2021,15,11,SD,3.367,JCT. RTE. 805,127000,6477,5.1,32.732305555555556,-117.11183333333332
2021,15,11,SD,6.132,JCT. RTE. 8,146000,3212,2.2,32.732305555555556,-117.11183333333332
2021,15,11,SD,6.132,JCT. RTE. 8,206000,10259,4.98,32.732305555555556,-117.11183333333332
2021,15,11,SD,9.995,CLAIREMONT MESA BOULEVARD INTERCHANGE,141000,9856,6.99,32.833666666666666,-117.11922222222222
2021,15,11,SD,12.124,JCT. RTE. 163,259000,9661,3.73,32.833666666666666,-117.11922222222222
2021,15,11,SD,14.285,"SAN DIEGO, MIRAMAR/ POMERADO ROADS",242000,9438,3.9,32.833666666666666,-117.11922222222222
2021,15,11,SD,14.285,"SAN DIEGO, MIRAMAR/ POMERADO ROADS",257000,9663,3.76,32.833666666666666,-117.11922222222222
2021,15,11,SD,18.176,"SAN DIEGO, POWAY ROAD",224000,15904,7.1,32.833666666666666,-117.11922222222222
2021,15,11,SD,18.176,"SAN DIEGO, POWAY ROAD",197000,13987,7.1,32.833666666666666,-117.11922222222222
2021,15,11,SD,27.65,"ESCONDIDO, SOUTH JUNCTION OF CENTRE CITY PARKWAY",174000,12354,7.1,32.833666666666666,-117.11922222222222
2021,15,11,SD,30.627,VALLEY PARKWAY,183000,12993,7.1,32.833666666666666,-117.11922222222222
2021,15,11,SD,31.517,JCT. RTE. 78,122000,28377,23.26,33.127,-117.10502777777778
2021,15,11,SD,31.517,JCT. RTE. 78,252000,17892,7.1,33.127,-117.10502777777778
2021,15,11,SD,31.517,JCT. RTE. 78,152000,15793,10.39,33.127,-117.10502777777778
2021,15,11,SD,36.636,DEER SPRINGS ROAD,135000,13932,10.32,33.197222222222216,-117.12591666666665
2021,15,11,SD,46.491,JCT. RTE. 76,135000,11192,8.29,33.331,-117.15950000000001
2021,15,11,SD,46.491,JCT. RTE. 76,122000,12481,10.23,33.331,-117.15950000000001
2021,15,8,RIV,0.0,SAN DIEGO/RIVERSIDE COUNTY LINE,138000,9315,6.75,33.43255555555555,-117.14380555555556
2021,15,8,RIV,1.098,RAINBOW TRUCK FACILITY,138000,5134,3.72,33.44716666666666,-117.13636111111111
2021,15,8,RIV,3.436,SOUTH JCT. RTE. 79,138000,9315,6.75,33.480555555555554,-117.1405
2021,15,8,RIV,3.436,SOUTH JCT. RTE. 79,158000,11139,7.05,33.480555555555554,-117.1405
2021,15,8,RIV,6.623,NORTH JCT RTE. 79,170000,11169,6.57,33.522638888888885,-117.16283333333334
2021,15,8,RIV,8.737,JCT. RTE. 215 NORTH,191000,10601,5.55,33.54933333333333,-117.18166666666667
2021,15,8,RIV,8.737,JCT. RTE. 215 NORTH,102000,9180,9.0,33.54933333333333,-117.18166666666667
2021,15,8,RIV,15.071,BAXTER ROAD,118000,10266,8.7,33.61238888888889,-117.25983333333333
2021,15,8,RIV,20.948,MAIN STREET,115000,10580,9.2,33.67736111111111,-117.32338888888889
2021,15,8,RIV,22.277,JCT. RTE. 74,112000,8355,7.46,33.69219444444444,-117.33741666666666
2021,15,8,RIV,22.277,JCT. RTE. 74,114000,11970,10.5,33.69219444444444,-117.33741666666666
2021,15,8,RIV,41.501,JCT. RTE. 91,200000,11220,5.61,33.88194444444444,-117.54713888888888
2021,15,8,RIV,44.66,"FOURTH ST, NORCO",137000,15700,11.46,33.924277777777775,-117.55638888888889
2021,15,8,RIV,51.474,JCT. RTE. 60,200000,16400,8.2,34.02175,-117.55011111111111
2021,15,8,SBD,2.389,JCT. RTE. 10,207000,21425,10.35,34.06738888888889,-117.54472222222222
2021,15,8,SBD,5.306,JCT. RTE. 66,200000,16200,8.1,34.10630555555556,-117.53191666666666
2021,15,8,SBD,5.306,JCT. RTE. 66,175000,14315,8.18,34.10630555555556,-117.53191666666666
2021,15,8,SBD,5.973,"RANCHO CUCAMONGA, MILLER AVENUE",176000,15347,8.72,34.113,-117.52383333333333
2021,15,8,SBD,31.813,JCT. RTE. 395 NORTH,119000,18600,15.63,34.39975,-117.40127777777778
2021,15,8,SBD,31.813,JCT. RTE. 395 NORTH,154000,20836,13.53,34.39975,-117.40127777777778
2021,15,8,SBD,40.509,JCT. RTE. 18 SOUTH,101000,18251,18.07,34.50761111111111,-117.32283333333334
2021,15,8,SBD,40.509,JCT. RTE. 18 SOUTH,95000,16217,17.07,34.50761111111111,-117.32283333333334
2021,15,8,SBD,43.488,"VICTORVILLE, JCT. RTE. 18 SOUTHEAST",64000,15142,23.66,34.545361111111106,-117.30063888888888
2021,15,8,SBD,68.77,"BARSTOW, LENWOOD ROAD",72000,17215,23.91,34.853500000000004,-117.08494444444445
2021,15,8,SBD,68.77,"BARSTOW, LENWOOD ROAD",64000,15994,24.99,34.853500000000004,-117.08494444444445
2021,15,8,SBD,74.418,"BARSTOW, JCT. RTE. 40 EAST",80000,15736,19.67,34.88719444444445,-117.0068611111111
2021,15,8,SBD,74.418,"BARSTOW, JCT. RTE. 40 EAST",49000,8183,16.7,34.88719444444445,-117.0068611111111
2021,15,8,SBD,76.883,JCT. RTE. 58 WEST,49000,8080,16.49,34.907777777777774,-116.97297222222223
2021,15,8,SBD,76.883,JCT. RTE. 58 WEST,49000,8330,17.0,34.907777777777774,-116.97297222222223
2021,15,8,SBD,87.26,YERMO INSPECTION STATION,38000,9663,25.43,34.913888888888884,-116.79266666666666
2021,15,8,SBD,136.574,"BAKER, JCT. RTE. 127",40000,8000,20.0,35.26358333333334,-116.07330555555555
2021,15,8,SBD,136.574,"BAKER, JCT. RTE. 127",39000,8206,21.04,35.26358333333334,-116.07330555555555
2021,15,8,SBD,176.459,NIPTON ROAD,45000,8082,17.96,35.473305555555555,-115.44872222222223
2021,15,8,SBD,186.238,NEVADA STATE LINE,46000,8262,17.96,35.607194444444445,-115.39105555555557
