,DI,RTE,CO,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
0,12,1,ORA,22.5,623,O,21,S,1418,6.53,69.48,4.53,8,WED,JUL,N,2098,8.89,75.47,6.71,17,THU,SEP
1,12,1,ORA,30.141,937,A,19,S,2385,9.99,58,5.79,7,WED,OCT,S,2098,9.64,52.87,5.09,16,FRI,AUG
2,5,1,SB,0,517,A,21,S,708,11.3,88.95,10.05,6,TUE,MAY,N,681,11.59,83.46,9.67,17,MON,AUG
3,5,1,SB,19.251,296,B,20,S,924,13.48,91.58,12.34,6,THU,NOV,N,749,11.85,84.44,10,17,THU,NOV
4,5,1,SB,20.565,518,A,21,S,523,8.48,52.94,4.49,12,SAT,MAR,S,541,8.86,52.37,4.64,15,FRI,JUN
5,5,1,SB,22.519,294,O,20,N,1373,9.2,57.21,5.26,7,TUE,FEB,S,1400,10.42,51.55,5.37,17,THU,FEB
6,5,1,SB,23.296,286,A,21,N,970,9.27,55.4,5.14,7,MON,SEP,N,995,9.98,52.81,5.27,17,WED,SEP
7,5,1,SB,26.69,288,A,21,N,1102,11.46,61.77,7.08,7,FRI,SEP,S,897,10.39,55.44,5.76,16,WED,AUG
8,5,1,SB,29.891,539,B,20,N,1027,11.13,60.63,6.75,7,TUE,NOV,S,972,11.12,57.41,6.38,17,WED,NOV
9,5,1,SB,29.891,290,A,20,S,1250,13.66,60.77,8.3,7,TUE,NOV,N,1314,13.37,65.24,8.72,17,WED,FEB
10,5,1,SB,36.189,292,B,20,S,1205,12.69,60.8,7.71,7,WED,FEB,N,1277,12.77,64.04,8.18,16,WED,NOV
11,5,1,SB,31.042,223,A,20,S,1630,12.13,74.33,9.02,6,TUE,OCT,N,1542,12.65,67.45,8.53,16,MON,OCT
12,5,1,SB,41.81,519,A,20,S,232,9.4,63.56,5.97,12,SAT,AUG,S,374,14.01,68.75,9.63,16,MON,AUG
13,5,1,SB,49.199,128,A,21,S,296,7.9,55.64,4.39,12,THU,MAR,S,389,10.36,55.73,5.77,17,FRI,SEP
14,5,1,SLO,6.35,140,B,21,N,428,9.28,60.03,5.57,7,FRI,AUG,S,616,11.44,70.08,8.02,17,MON,MAY
15,5,1,SLO,15.268,142,O,21,N,549,9.41,55.79,5.25,12,SAT,JUN,S,593,10.07,56.32,5.67,16,THU,JUL
16,5,1,SLO,16.77,520,A,21,N,1378,9.09,61.11,5.55,11,TUE,MAR,N,1454,9.21,63.63,5.86,14,FRI,APR
17,5,1,SLO,17.341,521,A,21,S,1139,9.01,53.58,4.83,12,THU,JUL,S,1429,10.74,56.37,6.06,15,MON,SEP
18,5,1,SLO,27.883,271,A,21,N,1304,9.76,52.92,5.16,12,SAT,SEP,N,1490,10.74,54.92,5.9,16,FRI,SEP
19,5,1,SLO,30.135,535,A,21,N,1085,10.57,52.9,5.59,12,FRI,JUL,S,1133,10.94,53.37,5.84,15,SUN,JUL
20,5,1,SLO,36.85,143,B,21,N,395,9.38,58.87,5.52,12,SAT,DEC,N,431,10.49,57.47,6.03,14,SAT,DEC
21,5,1,SLO,48.26,551,A,21,S,481,11.36,57.47,6.53,11,SUN,MAR,S,467,11.51,55.07,6.34,13,SUN,MAR
22,5,1,SLO,71.341,273,O,21,N,183,15.36,58.28,8.95,12,SUN,SEP,S,180,15.71,56.08,8.81,15,SUN,SEP
23,5,1,MON,75.135,532,B,20,S,2335,9.04,57.75,5.22,11,SAT,OCT,N,2475,10.17,54.42,5.53,16,THU,OCT
24,5,1,SCR,0.716,44,B,21,S,1764,7.44,61,4.54,12,SAT,FEB,S,1834,8.82,53.45,4.72,15,FRI,APR
25,5,1,SCR,2.683,414,A,21,N,2533,7.42,63.17,4.69,7,TUE,OCT,S,2789,8.8,58.67,5.16,16,THU,OCT
26,5,1,SCR,9.153,428,B,20,N,3321,6.62,72.88,4.83,5,TUE,MAR,S,3646,9.57,55.37,5.3,16,WED,FEB
27,5,1,SCR,9.153,425,A,20,S,4772,10.15,59.29,6.02,7,FRI,NOV,S,5198,9.96,65.84,6.55,14,THU,NOV
28,5,1,SCR,12.088,701,B,20,N,3453,7.06,62.04,4.38,8,TUE,MAY,S,3429,7.8,55.81,4.35,16,SUN,JUN
29,5,1,SCR,13.62,721,X,21,N,2945,7.64,61.05,4.67,7,THU,AUG,S,2637,7.99,52.3,4.18,14,SAT,SEP
30,4,1,SM,0,163,A,19,S,478,14.9,63.14,9.41,12,SUN,JUL,N,527,13.33,77.84,10.37,19,SUN,JUL
31,4,1,SM,26.432,433,B,19,N,688,11.59,65.34,7.57,11,SAT,OCT,S,857,14.21,66.38,9.43,17,SUN,OCT
32,4,1,SM,30.225,164,B,19,S,1259,7.58,62.23,4.71,7,TUE,JAN,N,1852,11.05,62.78,6.93,16,WED,JAN
