,DI,RTE,CO,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
0,12,1,ORA,22.5,623,O,22,S,2056,8.82,71.14,6.27,8,THU,SEP,N,2295,10.11,69.27,7,16,THU,SEP
1,5,1,SB,19.251,296,B,20,S,924,13.48,91.58,12.34,6,THU,NOV,N,749,11.85,84.44,10,17,THU,NOV
2,5,1,SB,20.565,518,A,21,S,523,8.48,52.94,4.49,12,SAT,MAR,S,541,8.86,52.37,4.64,15,FRI,JUN
3,5,1,SB,22.519,294,O,20,N,1373,9.2,57.21,5.26,7,TUE,FEB,S,1400,10.42,51.55,5.37,17,THU,FEB
4,5,1,SB,23.296,286,A,21,N,970,9.27,55.4,5.14,7,MON,SEP,N,995,9.98,52.81,5.27,17,WED,SEP
5,5,1,SB,26.69,288,A,21,N,1102,11.46,61.77,7.08,7,FRI,SEP,S,897,10.39,55.44,5.76,16,WED,AUG
6,5,1,SB,29.891,539,B,20,N,1027,11.13,60.63,6.75,7,TUE,NOV,S,972,11.12,57.41,6.38,17,WED,NOV
7,5,1,SB,29.891,290,A,20,S,1250,13.66,60.77,8.3,7,TUE,NOV,N,1314,13.37,65.24,8.72,17,WED,FEB
8,5,1,SB,36.189,292,B,20,S,1205,12.69,60.8,7.71,7,WED,FEB,N,1277,12.77,64.04,8.18,16,WED,NOV
9,5,1,SB,31.042,223,A,20,S,1630,12.13,74.33,9.02,6,TUE,OCT,N,1542,12.65,67.45,8.53,16,MON,OCT
10,5,1,SB,41.81,519,A,22,N,263,13.18,60.05,7.91,6,TUE,NOV,S,278,12.64,66.19,8.37,15,FRI,OCT
11,5,1,SB,41.81,121,B,22,S,293,9.9,57.34,5.67,7,TUE,SEP,S,351,13.19,51.54,6.8,15,THU,SEP
12,5,1,SLO,6.35,140,B,21,N,428,9.28,60.03,5.57,7,FRI,AUG,S,616,11.44,70.08,8.02,17,MON,MAY
13,5,1,SLO,15.268,142,O,21,N,549,9.41,55.79,5.25,12,SAT,JUN,S,593,10.07,56.32,5.67,16,THU,JUL
14,5,1,SLO,16.77,520,A,21,N,1378,9.09,61.11,5.55,11,TUE,MAR,N,1454,9.21,63.63,5.86,14,FRI,APR
15,5,1,SLO,17.341,521,A,22,S,1238,8.41,56.32,4.74,12,WED,APR,S,1480,9.5,59.63,5.66,15,TUE,AUG
16,5,1,SLO,27.883,271,A,21,N,1304,9.76,52.92,5.16,12,SAT,SEP,N,1490,10.74,54.92,5.9,16,FRI,SEP
