year,DISTRICT,RTE,CNTY,PM,DESCRIPTION,BACK_PEAK_HOUR,BACK_PEAK_MADT,BACK_AADT,AHEAD_PEAK_HOUR,AHEAD_PEAK_MADT,AHEAD_AADT
2019,12,1,ORA,0.78,"DANA POINT, DOHENY PARK ROAD",4250,42000,38900,4350,43500,38900
2019,12,1,ORA,8.43,"LAGUNA BEACH, MOUNTAIN ROAD",3200,40500,37900,3200,40500,37900
2019,12,1,ORA,9.418,"LAGUNA BEACH, JCT. RTE. 133 NORTH",3400,43000,38800,3850,43000,38800
2019,12,1,ORA,9.6,"LAGUNA BEACH, CLIFF DRIVE/ ASTER STREET",3750,41000,38500,3750,41000,38500
2019,12,1,ORA,11.5,"LAGUNA BEACH, NORTH CITY LIMITS",3550,39500,36800,3600,40500,36800
2019,12,1,ORA,18.073,"NEWPORT BEACH, BAYSIDE DRIVE",4550,52000,47200,5500,62000,56500
2019,12,1,ORA,18.446,"NEWPORT BEACH, DOVER DRIVE",4850,55000,50200,4850,55000,50200
2019,12,1,ORA,19.797,"NEWPORT BEACH, JCT. RTE. 55",4950,56000,49600,5900,54000,49600
2019,12,1,ORA,20.37,"NEWPORT BEACH, BALBOA BLVD",6000,54000,50600,6000,54000,50600
2019,12,1,ORA,21.549,SANTA ANA RIVER BRIDGE,4650,42500,38800,4650,42500,39800
2019,12,1,ORA,22.09,"HUNTINGTON BEACH, BROOKHURST STREET",4750,43000,40300,4800,43000,40300
2019,12,1,ORA,23.739,"HUNTINGTON BEACH, JCT. RTE. 39 NORTH",4400,40000,38300,4400,40000,37200
2019,12,1,ORA,25.89,"HUNTINGTON BEACH, GOLDENWEST STREET",4500,41000,38200,4500,41000,38200
2019,12,1,ORA,29.89,"SUNSET BEACH, WARNER AVENUE",5500,49000,45700,4850,44000,41200
2019,12,1,ORA,32.714,SEAL BEACH BOULEVARD,4600,41500,39200,4850,44000,41200
2019,12,1,ORA,32.721,"SEAL BEACH, SEAL BEACH BOULVARD",4850,50000,47300,4900,51000,47300
2019,7,1,LA,1.86,"LONG BEACH, BELLFLOWER BOULEVARD",3350,37000,34500,2550,28000,26000
2019,7,1,LA,1.973,"LONG BEACH, JCT. RTE. 22",2550,28000,26000,3400,36500,34000
2019,7,1,LA,2.751,"LONG BEACH, ANAHEIM STREET",3400,36500,34000,2800,30000,28000
2019,7,1,LA,5.011,"LONG BEACH, CHERRY AVENUE",3600,38000,36500,3650,38500,37000
2019,7,1,LA,6.26,"LONG BEACH, LONG BEACH BOULEVARD",3200,34000,32500,3350,36000,34500
2019,7,1,LA,7.288,"LONG BEACH, JCT. RTE. 710",4550,49500,40500,4350,47500,39000
2019,7,1,LA,8.266,"LONG BEACH, JCT. RTE. 103",3800,41500,34000,3550,39000,32000
2019,7,1,LA,9.253,"LOS ANGELES, ALAMEDA STREET",3550,39000,32000,3550,40000,32500
2019,7,1,LA,10.532,"LOS ANGELES, AVALON BOULEVARD",3550,40000,33000,4350,50000,41000
2019,7,1,LA,11.61,"LOS ANGELES, JCT. RTE. 110",4400,51000,41500,4400,59000,56000
2019,7,1,LA,12.171,"LOS ANGELES, VERMONT AVENUE",4400,59000,56000,4200,56000,53000
2019,7,1,LA,12.523,"LOS ANGELES, NORMANDIE AVENUE",4200,56000,53000,3950,51000,48500
2019,7,1,LA,13.1,"LOS ANGELES, JCT. RTE. 213",4000,51000,49000,5100,64000,61000
2019,7,1,LA,14.634,"TORRANCE, CRENSHAW BOULEVARD",4900,61000,58000,3850,46000,43500
2019,7,1,LA,16.005,"TORRANCE, JCT. RTE. 107",3350,41000,39000,3800,43500,42500
2019,7,1,LA,18.09,"TORRANCE, PALOS VERDES BOULEVARD",2850,33000,32000,2550,30500,29500
2019,7,1,LA,19.524,"REDONDO BEACH, TORRANCE BOULEVARD",3350,40500,39000,3350,40500,39500
2019,7,1,LA,21.181,"HERMOSA BEACH, AVIATION BOULEVARD",5300,64000,62000,4150,54000,50000
2019,7,1,LA,21.341,"HERMOSA BEACH, PIER AVENUE/14TH STREET",4150,54000,50000,3700,48500,45500
2019,7,1,LA,21.919,"MANHATTAN BEACH, ARTESIA BOULEVARD",3850,50000,47000,3800,49500,46000
2019,7,1,LA,22.9,"MANHATTAN BEACH, MANHATTAN BEACH BLBD",4000,52000,48500,4800,61000,57000
2019,7,1,LA,23.924,"EL SEGUNDO, ROSECRANS AVENUE",5400,68000,64000,5500,69000,65000
2019,7,1,LA,24.911,"EL SEGUNDO, EL SEGUNDO BOULEVARD",4800,64000,61000,4400,58000,56000
2019,7,1,LA,25.924,"LOS ANGELES, JCT. RTE. 105",4950,65000,62000,8900,115000,110000
2019,7,1,LA,26.904,"LOS ANGELES, LOS ANGELES INT'L AIRPORT",8900,115000,110000,6700,86000,83000
2019,7,1,LA,27.363,"LOS ANGELES, LOS ANGELES INT'L AIRPORT",6700,86000,83000,3250,38500,37000
2019,7,1,LA,29.084,"LOS ANGELES, MANCHESTER AVENUE",3750,44000,42000,5200,59000,57000
2019,7,1,LA,30.163,"LOS ANGELES, JEFFERSON BOULEVARD",5200,59000,57000,5100,60000,58000
2019,7,1,LA,30.474,"LOS ANGELES, CULVER BOULEVARD",5100,60000,58000,5200,62000,60000
2019,7,1,LA,31.29,"LOS ANGELES, JCT. RTE. 90",4500,55000,52000,5400,68000,65000
2019,7,1,LA,31.78,"LOS ANGELES, WASHINGTON BLVD",5500,70000,68000,4100,52000,47500
2019,7,1,LA,32.166,"LOS ANGELES, JCT. RTE. 187",4100,52000,47500,3500,45000,41500
2019,7,1,LA,34.576,"SANTA MONICA, JCT. RTE. 10",3400,46500,43000,5700,65000,62000
2019,7,1,LA,35.184,"SANTA MONICA, OCEAN AVENUE",5700,65000,62000,6700,75000,73000
2019,7,1,LA,36.11,"SANTA MONICA, CALIFORNIA AVENUE INCLINE",6700,75000,73000,7500,84000,79000
2019,7,1,LA,37.045,"LOS ANGELES, CHAUTAUQUA BOULEVARD",7500,84000,79000,7600,85000,80000
2019,7,1,LA,39.326,"LOS ANGELES, SUNSET BOULEVARD",5900,68000,63000,5600,65000,60000
2019,7,1,LA,40.769,JCT. RTE. 27,4900,57000,53000,4700,53000,49000
2019,7,1,LA,44.121,"MALIBU, LAS FLORES CANYON ROAD",3900,44500,40500,3950,45000,41000
2019,7,1,LA,47.091,"MALIBU, CROSS CREEK ROAD",4100,46000,41500,5400,47500,43000
2019,7,1,LA,47.75,"MALIBU, CIVIC CENTER WAY",5400,47500,43000,4600,40500,36500
2019,7,1,LA,48.171,"MALIBU, MALIBU CANYON ROAD",4600,40500,36500,3750,32500,29500
2019,7,1,LA,54.02,"MALIBU, KANAN DUME ROAD",3550,31000,28000,3750,32500,29500
2019,7,1,LA,56.843,"MALIBU, TRANCAS CANYON ROAD/BROAD BEACH ROAD",2450,24200,21300,1900,18900,16700
2019,7,1,LA,57.391,"MALIBU, LUNITA ROAD",1900,18900,16700,1900,18900,16700
2019,7,1,LA,59.401,"MALIBU, ENCINAL CANYON ROAD",1700,16700,14800,1400,13800,12300
2019,7,1,LA,59.901,"MALIBU, JCT. RTE. 23",1400,13800,12300,1350,13100,11700
2019,7,1,LA,62.301,MULHOLLAND HIGHWAY,1300,12500,11200,1550,15000,13400
2019,7,1,VEN,9.866,CALLEGUAS CREEK,1100,10700,9900,1100,10700,9900
2019,7,1,VEN,10.229,LAS POSAS ROAD,1100,10700,9900,1000,10000,9300
2019,7,1,VEN,11.594,WOOD ROAD,1000,10000,9300,1300,12800,12000
2019,7,1,VEN,12.785,HUENEME ROAD,1300,12800,12000,1350,13400,12600
2019,7,1,VEN,13.59,NAUMAN ROAD,1350,13400,12600,1400,13500,12800
2019,7,1,VEN,15.053,"OXNARD, PLEASANT VALLEY ROAD",1400,13500,12800,2050,20000,19000
2019,7,1,VEN,21.075,"OXNARD, JCT. RTE. 101",3100,33000,30500,720,6500,4400
2019,7,1,VEN,27.675,"SEACLIFF COLONY, JCT. RTE. 101",720,6500,4400,130,950,610
2019,5,1,SB,15.01,JALAMA ROAD,950,7600,6200,1200,9300,7800
2019,5,1,SB,19.251,"LOMPOC, SOUTH JCT. RTE. 246",1700,12100,8700,1500,13100,10800
2019,5,1,SB,20.565,"LOMPOC, NORTH JCT. RTE. 246",2200,19100,15700,1000,12000,11600
2019,5,1,SB,22.519,"LOMPOC, SANTA YNEZ RIVER BRIDGE",2300,28000,27700,2300,28000,27700
2019,5,1,SB,23.296,LOMPOC/CASMALIA ROAD,2900,30500,28100,1800,21800,20000
2019,5,1,SB,26.69,PINE CANYON ROAD,1800,16300,15800,1400,17100,16800
2019,5,1,SB,29.891,VANDENBERG AIR FORCE BASE,1500,17600,16200,1400,16900,16800
2019,5,1,SB,31.042,JCT. RTE. 135,2500,29500,19600,1700,20600,19400
2019,5,1,SB,34.777,"ORCUTT, JCT. RTE. 135 NORTH",2200,20600,19500,450,4300,4100
