year,RTE,DIST,CNTY,POSTMILE,DESCRIPTION,VEHICLE_AADT_TOTAL,TOT_TRK_AADT,TRK_PERCENT_TOT
2022,1,12,ORA,0.129,"DANA POINT, JCT. RTE. 5",38250,2379,6.22
2022,1,12,ORA,0.78,"DANA POINT, DOHENY PARK ROAD",38900,1894,4.87
2022,1,12,ORA,9.418,"LAGUNA BEACH, JCT. RTE. 133 NORTH",38800,675,1.74
2022,1,12,ORA,9.418,"LAGUNA BEACH, JCT. RTE. 133 NORTH",38800,675,1.74
2022,1,12,ORA,19.797,"NEWPORT BEACH, JCT. RTE. 55, NEWPORT BOULEVARD",49600,565,1.14
2022,1,12,ORA,19.797,"NEWPORT BEACH, JCT. RTE. 55, NEWPORT BOULEVARD",49600,397,0.8
2022,1,12,ORA,21.549,SANTA ANA RIVER BRIDGE,38800,272,0.7
2022,1,12,ORA,23.739,"HUNTINGTON BEACH, JCT. RTE. 39 NORTH, BEACH BOULEVARD",38300,306,0.8
2022,1,7,LA,0,LOS ANGELES/ORANGE COUNTY LINE,40500,543,1.34
2022,1,7,LA,1.973,"LONG BEACH, JCT. RTE. 22, SEVENTH STREET",24200,649,2.68
2022,1,7,LA,1.973,"LONG BEACH, JCT. RTE. 22, SEVENTH STREET",31500,986,3.13
2022,1,7,LA,7.288,"LONG BEACH, JCT. RTE. 710, LONG BEACH FREEWAY",37500,2258,6.02
2022,1,7,LA,7.288,"LONG BEACH, JCT. RTE. 710, LONG BEACH FREEWAY",36000,6847,19.02
2022,1,7,LA,8.266,"LONG BEACH, JCT. RTE. 103, TERMINAL ISLAND FREEWAY",31500,6908,21.93
2022,1,7,LA,8.266,"LONG BEACH, JCT. RTE. 103, TERMINAL ISLAND FREEWAY",30000,7401,24.67
2022,1,7,LA,11.61,"LOS ANGELES, JCT. RTE. 110, HARBOR FREEWAY",38500,1890,4.91
2022,1,7,LA,11.61,"LOS ANGELES, JCT. RTE. 110, HARBOR FREEWAY",53000,2862,5.4
2022,1,7,LA,13.1,"LOS ANGELES, JCT. RTE. 213, WESTERN AVENUE",57000,2702,4.74
2022,1,7,LA,16.005,"TORRANCE, JCT. RTE. 107, HAWTHORNE BOULEVARD",36000,1318,3.66
2022,1,7,LA,16.005,"TORRANCE, JCT. RTE. 107, HAWTHORNE BOULEVARD",39500,1315,3.33
2022,1,7,LA,21.919,"MANHATTAN BEACH, ARTESIA BOULEVARD",44000,1465,3.33
2022,1,7,LA,21.919,"MANHATTAN BEACH, ARTESIA BOULEVARD",42500,1415,3.33
2022,1,7,LA,25.924,"LOS ANGELES, JCT. RTE. 105, GLENN ANDERSON FREEWAY",58000,1786,3.08
2022,1,7,LA,27.363,"LOS ANGELES, LOS ANGELES INTERNATIONAL AIRPORT, VIA LINCOLN BOULEVARD",34500,745,2.16
2022,1,7,LA,29.084,"LOS ANGELES, MANCHESTER AVENUE",53000,1145,2.16
2022,1,7,LA,31.29,"LOS ANGELES, JCT. RTE. 90, MARINA FREEWAY",48500,1048,2.16
2022,1,7,LA,31.29,"LOS ANGELES, JCT. RTE. 90, MARINA FREEWAY",61000,1531,2.51
2022,1,7,LA,34.576,"SANTA MONICA, JCT. RTE. 10, SANTA MONICA FREEWAY",40000,1224,3.06
2022,1,7,LA,35.17,"SANTA MONICA, MCCLURE TUNNEL",62000,3367,5.43
2022,1,7,LA,40.769,"JCT. RTE. 27, TOPANGA CANYON BOULEVARD",49500,1332,2.69
2022,1,7,LA,40.769,"JCT. RTE. 27, TOPANGA CANYON BOULEVARD",46000,1398,3.04
