year,RTE,DIST,CNTY,POSTMILE,DESCRIPTION,VEHICLE_AADT_TOTAL,TOT_TRK_AADT,TRK_PERCENT_TOT,Latitude,Longitude
2022,5,11,SD,0.878,SOUTH JCT. RTE. 805,33500,1273,3.8,32.54936111111111,-117.04041666666666
2022,5,11,SD,4.632,JCT. RTE. 75 WEST,133000,5586,4.2,32.58383333333334,-117.08725
2022,5,11,SD,4.632,JCT. RTE. 75 WEST,136000,5032,3.7,32.58383333333334,-117.08725
2022,5,11,SD,11.129,8TH STREET,197000,9850,5.0,32.67477777777778,-117.10988888888889
2022,5,11,SD,12.647,JCT. RTE. 15 NORTH,216000,10800,5.0,32.69286111111111,-117.12180555555555
2022,5,11,SD,12.647,JCT. RTE. 15 NORTH,147000,6027,4.1,32.69286111111111,-117.12180555555555
2022,5,11,SD,14.077,"SAN DIEGO, JCT. RTE. 75 SOUTH",161000,6601,4.1,32.70125,-117.14288888888889
2022,5,11,SD,14.077,"SAN DIEGO, JCT. RTE. 75 SOUTH",163000,6520,4.0,32.70125,-117.14288888888889
2022,5,11,SD,15.036,"SAN DIEGO, JCT. RTE. 94",149000,5662,3.8,32.71369444444445,-117.14775
2022,5,11,SD,15.036,"SAN DIEGO, JCT. RTE. 94",192000,7680,4.0,32.71369444444445,-117.14775
2022,5,11,SD,16.069,"SAN DIEGO, JCT. RTE. 163",192000,7104,3.7,32.724000000000004,-117.15541666666667
2022,5,11,SD,16.069,"SAN DIEGO, JCT. RTE. 163",183000,7503,4.1,32.724000000000004,-117.15541666666667
2022,5,11,SD,20.056,JCT. RTE. 8/CAMINO DEL RIO,153000,6273,4.1,32.75911111111111,-117.20402777777778
2022,5,11,SD,20.056,JCT. RTE. 8/CAMINO DEL RIO,144000,4896,3.4,32.75911111111111,-117.20402777777778
2022,5,11,SD,23.476,"SAN DIEGO, BALBOA AVENUE",149000,6705,4.5,32.806527777777774,-117.21580555555556
2022,5,11,SD,23.476,"SAN DIEGO, BALBOA AVENUE",134000,5360,4.0,32.806527777777774,-117.21580555555556
2022,5,11,SD,25.947,JCT. RTE. 52 EAST,170000,6970,4.1,32.83755555555556,-117.23472222222222
2022,5,11,SD,30.682,"SAN DIEGO, NORTH JCT. RTE. 805",60000,2280,3.8,32.9045,-117.22483333333334
2022,5,11,SD,41.509,ENCINITAS BOULEVARD,189000,15649,8.28,33.04822222222222,-117.28733333333334
2022,5,11,SD,42.712,LEUCADIA BOULEVARD,209000,18622,8.91,33.06511111111111,-117.29241666666667
2022,5,11,SD,51.201,JCT. RTE. 78 EAST,212000,10197,4.81,33.176944444444445,-117.35141666666667
2022,5,11,SD,51.201,JCT. RTE. 78 EAST,190000,9120,4.8,33.176944444444445,-117.35141666666667
2022,5,11,SD,52.834,BROOKS ST OC,160000,11488,7.18,33.19638888888888,-117.36749999999999
2022,5,11,SD,53.43,MISSION AVENUE,153000,9149,5.98,33.20138888888889,-117.37558333333332
2022,5,11,SD,54.39,HARBOR DRIVE/VANDERGRIFT,120000,10860,9.05,33.21027777777778,-117.38733333333334
2022,5,11,SD,71.377,BASILONE ROAD,136000,9833,7.23,33.38538888888889,-117.58319444444444
2022,5,12,ORA,0.0,SAN DIEGO/ORANGE COUNTY LINE,133000,9310,7.0,33.396499999999996,-117.59363888888889
2022,5,12,ORA,6.78,JCT RTE 1,140200,9814,7.0,33.46713888888889,-117.66977777777778
2022,5,12,ORA,9.604,"SAN JUAN CAPISTRANO, JCT. RTE. 74",145400,10178,7.0,33.502472222222224,-117.65836111111112
2022,5,12,ORA,9.604,"SAN JUAN CAPISTRANO, JCT. RTE. 74",162200,11354,7.0,33.502472222222224,-117.65836111111112
2022,5,12,ORA,13.776,CROWN VALLEY PARKWAY INTERCHANGE,193800,14535,7.5,33.55925,-117.67288888888889
2022,5,12,ORA,21.304,"JCT. RTE. 405, SANTA ANA FREEWAY",208700,14609,7.0,33.64469444444445,-117.73497222222223
2022,5,12,ORA,23.12,"IRVINE, JCT. RTE. 133",186000,13020,7.0,33.666916666666665,-117.7526388888889
2022,5,12,ORA,23.12,"IRVINE, JCT. RTE. 133",246800,17276,7.0,33.666916666666665,-117.7526388888889
2022,5,12,ORA,30.263,"TUSTIN, JCT. RTE. 55, COSTA MESA FREEWAY",269700,18879,7.0,33.74066666666667,-117.83352777777777
2022,5,12,ORA,30.263,"TUSTIN, JCT. RTE. 55, COSTA MESA FREEWAY",311900,21833,7.0,33.74066666666667,-117.83352777777777
2022,5,12,ORA,34.0,"SANTA ANA, JCT. RTES. 22 AND 57, GARDEN GROVE/ORANGE FREEWAYS",213100,14917,7.0,33.778777777777776,-117.87591666666665
2022,5,12,ORA,34.0,"SANTA ANA, JCT. RTES. 22 AND 57, GARDEN GROVE/ORANGE FREEWAYS",179000,12530,7.0,33.778777777777776,-117.87591666666665
2022,5,12,ORA,34.942,"ORANGE, CHAPMAN AVENUE",159900,12792,8.0,33.788888888888884,-117.8866388888889
2022,5,12,ORA,36.258,KATELLA AVENUE,144000,12240,8.5,33.80313888888889,-117.90158333333333
2022,5,12,ORA,36.258,KATELLA AVENUE,176500,14120,8.0,33.80313888888889,-117.90158333333333
