year,RTE,DIST,CNTY,POSTMILE,DESCRIPTION,VEHICLE_AADT_TOTAL,TRUCK_AADT_TOTAL,TRK_PERCENT_TOT,Latitude,Longitude
2019,5,11,SD,0.878,SOUTH JCT. RTE. 805,45000.0,1710,3.8,32.54936111111111,117.04041666666666
2019,5,11,SD,4.632,JCT. RTE. 75 WEST,142000.0,5964,4.2,32.58383333333334,117.08725
2019,5,11,SD,4.632,JCT. RTE. 75 WEST,153000.0,5661,3.7,32.58383333333334,117.08725
2019,5,11,SD,11.129,8TH STREET,198000.0,9900,5.0,32.67477777777778,117.10988888888889
2019,5,11,SD,12.647,JCT. RTE. 15 NORTH,215000.0,10750,5.0,32.69286111111111,117.12180555555555
2019,5,11,SD,12.647,JCT. RTE. 15 NORTH,166000.0,6806,4.1,32.69286111111111,117.12180555555555
2019,5,11,SD,14.077,"SAN DIEGO, JCT. RTE. 75 SOUTH",170000.0,6970,4.1,32.70125,117.14288888888889
2019,5,11,SD,14.077,"SAN DIEGO, JCT. RTE. 75 SOUTH",172000.0,6880,4.0,32.70125,117.14288888888889
2019,5,11,SD,15.036,"SAN DIEGO, JCT. RTE. 94",178000.0,6764,3.8,32.71369444444445,117.14775
2019,5,11,SD,15.036,"SAN DIEGO, JCT. RTE. 94",229000.0,9160,4.0,32.71369444444445,117.14775
2019,5,11,SD,16.069,"SAN DIEGO, JCT. RTE. 163",229000.0,8473,3.7,32.724000000000004,117.15541666666667
2019,5,11,SD,16.069,"SAN DIEGO, JCT. RTE. 163",219000.0,8979,4.1,32.724000000000004,117.15541666666667
2019,5,11,SD,20.056,JCT. RTE. 8/CAMINO DEL RIO,193000.0,7913,4.1,32.75911111111111,117.20402777777778
2019,5,11,SD,20.056,JCT. RTE. 8/CAMINO DEL RIO,191000.0,6494,3.4,32.75911111111111,117.20402777777778
2019,5,11,SD,23.476,"SAN DIEGO, BALBOA AVENUE",163000.0,7335,4.5,32.806527777777774,117.21580555555556
2019,5,11,SD,23.476,"SAN DIEGO, BALBOA AVENUE",147000.0,5880,4.0,32.806527777777774,117.21580555555556
2019,5,11,SD,25.947,JCT. RTE. 52 EAST,193000.0,7913,4.1,32.83755555555556,117.23472222222222
2019,5,11,SD,30.682,"SAN DIEGO, NORTH JCT. RTE. 805",70000.0,2660,3.8,32.9045,117.22483333333334
2019,5,11,SD,41.509,ENCINITAS BOULEVARD,218000.0,18050,8.28,33.04822222222222,117.28733333333334
2019,5,11,SD,42.712,LEUCADIA BOULEVARD,217000.0,13584,6.26,33.06511111111111,117.29241666666667
2019,5,11,SD,51.201,JCT. RTE. 78 EAST,202000.0,9716,4.81,33.176944444444445,117.35141666666667
2019,5,11,SD,51.201,JCT. RTE. 78 EAST,209000.0,10032,4.8,33.176944444444445,117.35141666666667
2019,5,11,SD,52.834,BROOKS ST OC,208000.0,14934,7.18,33.19638888888888,117.36749999999999
2019,5,11,SD,53.43,MISSION AVENUE,172000.0,10286,5.98,33.20138888888889,117.37558333333332
2019,5,11,SD,54.39,HARBOR DRIVE/VANDERGRIFT,142000.0,12894,9.05,33.21027777777778,117.38733333333334
2019,5,11,SD,71.377,BASILONE ROAD,141000.0,10194,7.23,33.38538888888889,117.58319444444444
2019,5,12,ORA,0.0,SAN DIEGO/ORANGE COUNTY LINE,143000.0,10010,7.0,33.396499999999996,117.59363888888889
