year,RTE,DIST,CNTY,POSTMILE,DESCRIPTION,VEHICLE_AADT_TOTAL,TOT_TRK_AADT,TRK_PERCENT_TOT,Latitude,Longitude
2022,8,11,SD,0.407,"SAN DIEGO, SUNSET CLIFFS BOULEVARD",12500,125,1.0,37.22944444444445,-119.50944444444444
2022,8,11,SD,2.379,JCT RTE 5 LT LANES,97000,1164,1.2,32.76213888888889,-117.16425000000001
2022,8,11,SD,2.379,JCT RTE 5 LT LANES,128000,3584,2.8,32.76213888888889,-117.16425000000001
2022,8,11,SD,2.41,"SAN DIEGO, JCT. RTE. 163",165000,4455,2.7,32.76233333333333,-117.16377777777778
2022,8,11,SD,2.41,"SAN DIEGO, JCT. RTE. 163",183000,5124,2.8,32.76233333333333,-117.16377777777778
2022,8,11,SD,4.378,"SAN DIEGO, JCT. RTE. 805",166000,5312,3.2,32.77175,-117.13180555555554
2022,8,11,SD,5.638,JCT. RTE. 15,219000,6570,3.0,32.7785,-117.11233333333332
2022,8,11,SD,5.638,JCT. RTE. 15,246000,8610,3.5,32.7785,-117.11233333333332
2022,8,11,SD,8.336,COLLEGE AVENUE,201000,4040,2.01,32.779333333333334,-117.06638888888888
2022,8,11,SD,10.57,FLETCHER PARKWAY,130000,4810,3.7,32.77327777777778,-117.03008333333334
2022,8,11,SD,10.57,FLETCHER PARKWAY,113000,4972,4.4,32.77327777777778,-117.03008333333334
2022,8,11,SD,15.8,"EL CAJON, JCT. RTE. 67 NORTH",173000,8131,4.7,32.80294444444444,-116.96261111111112
2022,8,11,SD,15.8,"EL CAJON, JCT. RTE. 67 NORTH",191000,5539,2.9,32.80294444444444,-116.96261111111112
2022,8,11,SD,18.727,GREENFIELD DRIVE,112000,3293,2.94,32.81169444444444,-116.91744444444446
2022,8,11,SD,18.727,GREENFIELD DRIVE,83000,9819,11.83,32.81169444444444,-116.91744444444446
2022,8,11,SD,37.831,"JCT. RTE. 79 NORTH, JAPATUL VALLEY ROAD",24600,2952,12.0,32.82747222222223,-116.62544444444444
2022,8,11,SD,37.831,"JCT. RTE. 79 NORTH, JAPATUL VALLEY ROAD",24800,3373,13.6,32.82747222222223,-116.62544444444444
2022,8,11,SD,51.98,CAMERON ROAD,17500,2249,12.85,32.718805555555555,-116.47036111111112
2022,8,11,SD,65.904,JCT. RTE. 94 SOUTH,17700,2459,13.89,32.677305555555556,-116.29125
2022,8,11,SD,65.904,JCT. RTE. 94 SOUTH,22400,3942,17.6,32.677305555555556,-116.29125
2022,8,11,IMP,10.01,JCT. RTE. 98,14500,2016,13.9,32.72694444444445,-116.02572222222223
2022,8,11,IMP,10.01,JCT. RTE. 98,13500,1877,13.9,32.72694444444445,-116.02572222222223
2022,8,11,IMP,23.48,DUNAWAY ROAD,14100,2273,16.12,32.76911111111111,-115.80052777777777
2022,8,11,IMP,29.933,DREW ROAD,18800,3053,16.24,32.774138888888885,-115.69038888888889
2022,8,11,IMP,37.972,JCT. RTE. 86,36500,3906,10.7,32.77397222222222,-115.55222222222221
2022,8,11,IMP,37.972,JCT. RTE. 86,36500,3712,10.17,32.77397222222222,-115.55222222222221
2022,8,11,IMP,40.944,JCT. RTE. 111,27500,4903,17.83,32.773944444444446,-115.50122222222222
2022,8,11,IMP,40.944,JCT. RTE. 111,24500,4885,19.94,32.773944444444446,-115.50122222222222
2022,8,11,IMP,47.783,JCT RTE 7/ORCHARD ROAD,15500,3722,24.01,32.77344444444444,-115.38375
2022,8,11,IMP,53.497,JCT. RTE. 115 NORTH,15100,3574,23.67,32.77313888888889,-115.28563888888888
2022,8,11,IMP,53.497,JCT. RTE. 115 NORTH,16000,3998,24.99,32.77313888888889,-115.28563888888888
2022,8,11,IMP,65.752,EAST JCT. RTE. 98 WEST,20400,4337,21.26,32.71077777777778,-115.08919444444444
2022,8,11,IMP,65.752,EAST JCT. RTE. 98 WEST,22400,4836,21.59,32.71077777777778,-115.08919444444444
2022,8,11,IMP,96.544,4TH AVENUE,15500,3984,25.7,32.73191666666667,-114.62463888888888
