RTE,DIST,CNTY,POSTMILE,LEG,DESCRIPTION,VEHICLE_AADT_TOTAL,TRUCK_AADT_TOTAL,TRK_PERCENT_TOT,TRK_2_AXLE,TRK_3_AXLE,TRK_4_AXLE,TRK_5_AXLE,EAL,YEAR,,,,,,,,,,
001,12,ORA,R.129,A,"DANA POINT, JCT. RTE. 5",37750,2348,6.22,797,1111,314,126,219.735,2017,,,,,,,,,,
001,12,ORA,R.78,A,"DANA POINT, DOHENY PARK RD",38800,1889,4.87,641,894,253,101,176.719,2017,,,,,,,,,,
001,12,ORA,9.418,A,"LAGUNA BEACH, JCT. RTE. 133 NORTH",38500,671,1.74,262,308,62,39,60.075,2017,,,,,,,,,,
001,12,ORA,9.418,B,"LAGUNA BEACH, JCT. RTE. 133 NORTH",38500,671,1.74,262,308,62,39,60.075,2017,,,,,,,,,,
001,12,ORA,19.797,B,"NEWPORT BEACH, JCT. RTE. 55, NEWPORT BLVD",49400,563,1.14,433,78,26,26,35.123,2017,,,,,,,,,,
001,12,ORA,19.797,A,"NEWPORT BEACH, JCT. RTE. 55, NEWPORT BLVD",49400,395,0.8,272,62,12,49,33.893,2017,,,,,,,,,,
001,12,ORA,21.549,B,SANTA ANA RIVER BRIDGE,38600,270,0.7,186,42,8,34,23.28,2017,,,,,,,,,,
001,12,ORA,23.739,B,"HUNTINGTON BEACH, JCT. RTE. 39 NORTH, BEACH BLVD",38050,305,0.8,209,48,10,38,26.311,2017,,,,,,,,,,
001,7,LA,0,A,LOS ANGELES/ORANGE COUNTY LINE,42500,570,1.34,492,38,11,29,32.338,2017,,,,,,,,,,
001,7,LA,1.973,B,"LONG BEACH, JCT. RTE. 22, SEVENTH ST",26000,697,2.68,493,111,29,64,53.81,2017,,,,,,,,,,
001,7,LA,1.973,A,"LONG BEACH, JCT. RTE. 22, SEVENTH ST",34000,1064,3.13,635,123,41,265,130.993,2017,,,,,,,,,,
001,7,LA,7.288,B,"LONG BEACH, JCT. RTE. 710",40500,2437,6.02,1458,457,55,467,262.274,2017,,,,,,,,,,
001,7,LA,7.288,A,"LONG BEACH, JCT. RTE. 710",39000,7418,19.02,1665,1426,159,4168,1650.8,2017,,,,,,,,,,
001,7,LA,8.266,A,"LONG BEACH, JCT. RTE. 103",32000,7894,24.67,1235,2626,272,3761,1622.346,2017,,,,,,,,,,
001,7,LA,8.266,B,"LONG BEACH, JCT. RTE. 103",34000,7456,21.93,1271,1798,247,4140,1674.51,2017,,,,,,,,,,
001,7,LA,11.61,B,"LOS ANGELES, JCT. RTE. 110",41500,2038,4.91,1092,351,70,525,261.927,2017,,,,,,,,,,
001,7,LA,11.61,A,"LOS ANGELES, JCT. RTE. 110",56000,3025,5.4,1817,562,107,539,316.983,2017,,,,,,,,,,
001,7,LA,13.1,A,"LOS ANGELES, JCT. RTE. 213",61000,2891,4.74,1827,413,85,566,309.706,2017,,,,,,,,,,
001,7,LA,16.005,B,"TORRANCE, JCT. RTE. 107",39000,1427,3.66,1051,229,71,76,94.51,2017,,,,,,,,,,
001,7,LA,16.005,A,"TORRANCE, JCT. RTE. 107",42500,1415,3.33,1078,189,91,57,88.16,2017,,,,,,,,,,
001,7,LA,21.919,A,"MANHATTAN BEACH, ARTESIA BLVD",46000,1531,3.33,1167,205,98,61,95.156,2017,,,,,,,,,,
001,7,LA,21.919,B,"MANHATTAN BEACH, ARTESIA BLVD",47000,1566,3.33,1193,210,100,63,97.51,2017,,,,,,,,,,
001,7,LA,25.924,B,"LOS ANGELES, JCT. RTE. 105",62000,1910,3.08,1308,178,79,345,192.794,2017,,,,,,,,,,
001,7,LA,27.363,A,LOS ANGELES INTERNATIONAL AIRPORT,37000,799,2.16,672,56,24,47,48.415,2017,,,,,,,,,,
001,7,LA,29.084,A,"LOS ANGELES, MANCHESTER AVE",57000,1232,2.16,1035,87,37,73,74.853,2017,,,,,,,,,,
001,7,LA,31.29,A,"LOS ANGELES, JCT. RTE. 90",65000,1632,2.51,1323,103,52,154,116.555,2017,,,,,,,,,,
001,7,LA,31.29,B,"LOS ANGELES, JCT. RTE. 90",52000,1123,2.16,944,79,34,66,68.076,2017,,,,,,,,,,
001,7,LA,R34.576,B,"SANTA MONICA, JCT. RTE. 10",43000,1317,3.06,998,152,39,128,98.807,2017,,,,,,,,,,
001,7,LA,35.17,O,"SANTA MONICA, MCCLURE TUNNEL",62000,3366,5.43,2402,401,57,506,303.911,2017,,,,,,,,,,
001,7,LA,40.769,A,"JCT. RTE. 27, TOPANGA CANYON BLVD",49000,1491,3.04,1229,159,24,79,88.426,2017,,,,,,,,,,
001,7,LA,40.769,B,"JCT. RTE. 27, TOPANGA CANYON BLVD",53000,1427,2.69,1123,170,33,101,94.641,2017,,,,,,,,,,
001,7,LA,59.901,B,"MALIBU, JCT. RTE. 23, DECKER CANYON RD",12300,668,5.43,530,63,8,67,48.637,2017,,,,,,,,,,
001,7,LA,59.901,A,"MALIBU, JCT. RTE. 23, DECKER CANYON RD",11700,636,5.43,504,60,8,64,46.416,2017,,,,,,,,,,
001,7,VEN,9.866,O,CALLEGUAS CREEK,9900,646,6.52,398,133,76,39,50.793,2017,,,,,,,,,,
001,7,VEN,R15.053,B,"OXNARD, PLEASANT VALLEY RD/RICE AVE",12800,837,6.54,490,154,51,142,87.805,2017,,,,,,,,,,
001,7,VEN,21.075,B,"OXNARD, JCT. RTE. 101",30500,835,2.74,623,89,22,101,68.072,2017,,,,,,,,,,
001,7,VEN,21.25,A,"OXNARD, JCT. RTE. 101",4400,392,8.91,226,40,36,90,47.932,2017,,,,,,,,,,
001,7,VEN,27.675,A,"SEACLIFF COLONY, JCT. RTE. 101",610,57,9.34,30,6,8,13,7.263,2017,,,,,,,,,,
001,7,VEN,28.48,B,"LAS CRUCES, JCT. RTE. 101; MOBIL OIL PIER",610,79,13,38,6,22,13,9.601,2017,,,,,,,,,,
001,5,SB,R0,A,"LAS CRUCES, JCT. RTE. 101; MOBIL OIL PIER",8000,1440,18,778,187,86,389,191.281,2017,,,,,,,,,,
001,5,SB,19.251,B,"LOMPOC, SOUTH JCT. RTE. 246",8400,1092,13,568,142,76,306,149.686,2017,,,,,,,,,,
001,5,SB,19.251,A,"LOMPOC, SOUTH JCT. RTE. 246",10900,2616,24,1256,314,340,706,366.398,2017,,,,,,,,,,
001,5,SB,20.565,B,"LOMPOC, NORTH JCT. RTE. 246",13400,1608,12,997,209,96,306,173.805,2017,,,,,,,,,,
001,5,SB,20.565,A,"LOMPOC, NORTH JCT. RTE. 246",11500,1151,10,702,150,69,230,127.863,2017,,,,,,,,,,
001,5,SB,22.519,B,"LOMPOC, SANTA YNEZ RIVER BRIDGE",27100,2981,11,1550,388,149,894,420.279,2017,,,,,,,,,,
001,5,SB,R23.296,A,LOMPOC/CASMALIA RD,20600,1236,6,828,161,99,148,109.405,2017,,,,,,,,,,
001,5,SB,M29.891,A,VANDENBERG AIR FORCE BASE,16200,1620,10,891,211,113,405,206.933,2017,,,,,,,,,,
